"ID","Site","Subsite","Date","Transect_Type","Transect_Number","max_dep","min_dep","avg_dep","ver_rel_m","DRR"
"AR-330_PIPES_2016-01-15_S","330","PIPES","2016-01-15","Structural",0,19.2272,17.0136,18.3439346320346,2.2136,0.510625936444009
"AR-342_PIPES_2015-10-14_R_T1","342","PIPES","2015-10-14","Radiating",1,16.6556,15.4527,16.089803164557,1.2029,0.307603670880502
"AR-342_PIPES_2015-10-14_R_T2","342","PIPES","2015-10-14","Radiating",2,16.38,15.6346,15.9073706666667,0.745399999999998,0.164379147074052
"AR-345_CONC_2015-10-15_R_T3","345","CONC","2015-10-15","Radiating",3,18.5285,17.8567,18.4105022727273,0.671800000000001,0.100267642959533
"AR-345_CONC_2015-10-15_S","345","CONC","2015-10-15","Structural",0,18.72151851,17.48233357,18.114716781066,1.23918494,0.256335737942253
"AR-345_RB1_2015-10-15_R_T1","345","RB1","2015-10-15","Radiating",1,19.4056,19.091,19.2551234482759,0.314599999999999,0.078110039913247
"AR-345_RB1_2015-10-15_R_T2","345","RB1","2015-10-15","Radiating",2,19.3844,19.0699,19.2199852112676,0.314499999999999,0.0691694813890405
"AR-345_RB1_2015-10-15_R_T3","345","RB1","2015-10-15","Radiating",3,19.2816,19.0458,19.1494970588235,0.235800000000001,0.0464611391048428
"AR-345_RB1_2015-10-15_S","345","RB1","2015-10-15","Structural",0,19.49989623,18.48220088,19.1139709018727,1.01769535,0.308637451097345
"AR-345_RB1_2016-04-21_R_T1","345","RB1","2016-04-21","Radiating",1,18.7861,18.4146,18.5688831460674,0.371500000000001,0.0810339774919855
"AR-345_RB1_2016-04-21_R_T2","345","RB1","2016-04-21","Radiating",2,18.8434,18.4539,18.6147589285714,0.389499999999998,0.0752756215440412
"AR-345_RB1_2016-04-21_R_T3","345","RB1","2016-04-21","Radiating",3,18.9431,18.469,18.6899171171171,0.4741,0.106152947009898
"AR-345_RB1_2016-04-21_S","345","RB1","2016-04-21","Structural",0,18.9114,17.8533,18.4587957345972,1.0581,0.320271916956894
"AR-345_RB2_2015-10-15_R_T1","345","RB2","2015-10-15","Radiating",1,18.4649,18.2078,18.3047194029851,0.257100000000001,0.0480588227879254
"AR-345_RB2_2015-10-15_R_T2","345","RB2","2015-10-15","Radiating",2,18.4257,18.1896,18.3153651006711,0.2361,0.0457041262052535
"AR-345_RB2_2015-10-15_R_T3","345","RB2","2015-10-15","Radiating",3,18.6283,18.2047,18.3727305194805,0.4236,0.088419282881899
"AR-345_RB2_2015-10-15_S","345","RB2","2015-10-15","Structural",0,18.69695392,17.49648713,18.1219818469565,1.20046679,0.32634241723369
"AR-345_RB2_2016-04-21_R_T1","345","RB2","2016-04-21","Radiating",1,17.8888,17.5232,17.708468627451,0.365600000000001,0.078492858955502
"AR-345_RB2_2016-04-21_R_T2","345","RB2","2016-04-21","Radiating",2,17.8526,17.5866,17.7087628571429,0.265999999999998,0.057634223368557
"AR-345_RB2_2016-04-21_R_T3","345","RB2","2016-04-21","Radiating",3,17.8194,17.5897,17.6960598290598,0.229700000000001,0.0503315457051935
"AR-345_RB2_2016-04-21_S","345","RB2","2016-04-21","Structural",0,17.7936,16.6824,17.3562983240223,1.1112,0.316669001770885
"AR-345_TITAN_2015-08-10_R_T1","345","TITAN","2015-08-10","Radiating",1,18.2996,17.2993,18.1304964497041,1.0003,0.107272217086946
"AR-345_TITAN_2015-08-10_R_T2","345","TITAN","2015-08-10","Radiating",2,18.3137,17.9651,18.159934741784,0.348600000000001,0.0798707435429741
"AR-345_TITAN_2015-08-10_R_T3","345","TITAN","2015-08-10","Radiating",3,18.27853933,17.94041896,18.0809862859184,0.338120370000002,0.0620810310265348
"AR-345_TITAN_2015-08-10_S","345","TITAN","2015-08-10","Structural",0,17.2535,11.8975,15.3798817391304,5.356,1.52751069394023
"AR-345_TITAN_2015-10-15_R_T1","345","TITAN","2015-10-15","Radiating",1,19.3814,19.1788,19.2845798076923,0.2026,0.0462245141112052
"AR-345_TITAN_2015-10-15_R_T2","345","TITAN","2015-10-15","Radiating",2,19.55065851,19.09407013,19.3222912387963,0.456588380000003,0.0839520952633486
"AR-345_TITAN_2015-10-15_R_T3","345","TITAN","2015-10-15","Radiating",3,19.3118,19.1122,19.2159035087719,0.1996,0.0428305963953296
"AR-345_TITAN_2015-10-15_S","345","TITAN","2015-10-15","Structural",0,18.38714067,15.91850136,17.538480685516,2.46863931,0.565536243975964
"AR-345_TITAN_2016-01-27_R","345","TITAN","2016-01-27","Radiating",0,19.38571511,18.67068818,19.0395261884979,0.715026930000001,0.12433948218979
"AR-345_TITAN_2016-01-27_S","345","TITAN","2016-01-27","Structural",0,19.50445531,15.21055121,16.3317907772269,4.2939041,1.06682477895881
"AR-345_TITAN_2016-04-21_R_T1","345","TITAN","2016-04-21","Radiating",1,19.0941,18.7136,18.8591983333333,0.380500000000001,0.0874467616990626
"AR-345_TITAN_2016-04-21_R_T2","345","TITAN","2016-04-21","Radiating",2,19.0669,18.7377,18.8941941747573,0.3292,0.0731430291335539
"AR-345_TITAN_2016-04-21_R_T3","345","TITAN","2016-04-21","Radiating",3,19.1243,18.5143,18.8422837606838,0.610000000000003,0.100001396505133
"AR-345_TITAN_2016-04-21_S","345","TITAN","2016-04-21","Structural",0,18.919,16.9432,17.986417961165,1.9758,0.474218311069777
"AR-364_BARGE_2015-10-15_S","364","BARGE","2015-10-15","Structural",0,14.60732379,11.8637788,12.6992688852153,2.74354499,0.593379115649778
"AR-364_BARGE_2015-12-10_R_T1","364","BARGE","2015-12-10","Radiating",1,14.62202171,13.07690214,13.6813633743396,1.54511957,0.440987843813024
"AR-364_BARGE_2015-12-10_R_T2","364","BARGE","2015-12-10","Radiating",2,13.2527329,12.74953303,12.989375887006,0.50319987,0.113919158427891
"AR-364_BARGE_2015-12-10_R_T3","364","BARGE","2015-12-10","Radiating",3,13.25878899,12.71312845,12.9708414115263,0.54566054,0.112065615367806
"AR-364_BARGE_2015-12-10_S","364","BARGE","2015-12-10","Structural",0,15.39944679,14.13943978,14.8101176131818,1.26000701,0.249114293890465
"AR-364_BARGE_2016-03-09_R_T1","364","BARGE","2016-03-09","Radiating",1,14.5466,13.0606,13.6621981308411,1.486,0.395866511230054
"AR-364_BARGE_2016-03-09_R_T2","364","BARGE","2016-03-09","Radiating",2,13.1757,12.9062,13.0247240740741,0.269500000000001,0.0654806197630659
