ID,Sample_#,Date,"Date Time, GMT-04:00",Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m,
AR-345_RB2_2015-10-15_S,14,10/15/2015,12:17:12 PM,41.8263,23.966,18.46110663,30,
AR-345_RB2_2015-10-15_S,15,10/15/2015,12:17:13 PM,41.816,23.966,18.4540979,,
AR-345_RB2_2015-10-15_S,16,10/15/2015,12:17:14 PM,41.7539,23.966,18.41184136,,
AR-345_RB2_2015-10-15_S,17,10/15/2015,12:17:15 PM,41.7539,23.966,18.41184136,,
AR-345_RB2_2015-10-15_S,18,10/15/2015,12:17:16 PM,41.7539,23.966,18.41184136,,
AR-345_RB2_2015-10-15_S,19,10/15/2015,12:17:17 PM,41.7539,23.966,18.41184136,,
AR-345_RB2_2015-10-15_S,20,10/15/2015,12:17:18 PM,41.6814,23.966,18.36250804,,
AR-345_RB2_2015-10-15_S,21,10/15/2015,12:17:19 PM,41.6659,23.966,18.35196091,,
AR-345_RB2_2015-10-15_S,22,10/15/2015,12:17:20 PM,41.6142,23.966,18.31678115,,
AR-345_RB2_2015-10-15_S,23,10/15/2015,12:17:21 PM,41.5624,23.966,18.28153335,,
AR-345_RB2_2015-10-15_S,24,10/15/2015,12:17:22 PM,41.5727,23.966,18.28854208,,
AR-345_RB2_2015-10-15_S,25,10/15/2015,12:17:23 PM,41.5727,23.966,18.28854208,,
AR-345_RB2_2015-10-15_S,26,10/15/2015,12:17:24 PM,41.6503,23.966,18.34134574,,
AR-345_RB2_2015-10-15_S,27,10/15/2015,12:17:25 PM,41.7021,23.966,18.37659355,,
AR-345_RB2_2015-10-15_S,28,10/15/2015,12:17:26 PM,41.7229,23.966,18.39074711,,
AR-345_RB2_2015-10-15_S,29,10/15/2015,12:17:27 PM,41.6969,23.966,18.37305516,,
AR-345_RB2_2015-10-15_S,30,10/15/2015,12:17:28 PM,41.6453,23.966,18.33794345,,
AR-345_RB2_2015-10-15_S,31,10/15/2015,12:17:29 PM,41.5522,23.966,18.27459266,,
AR-345_RB2_2015-10-15_S,32,10/15/2015,12:17:30 PM,41.6193,23.966,18.3202515,,
AR-345_RB2_2015-10-15_S,33,10/15/2015,12:17:31 PM,41.6659,23.966,18.35196091,,
AR-345_RB2_2015-10-15_S,34,10/15/2015,12:17:32 PM,41.4486,23.966,18.20409705,,
AR-345_RB2_2015-10-15_S,35,10/15/2015,12:17:33 PM,41.2263,23.966,18.05283088,,
AR-345_RB2_2015-10-15_S,36,10/15/2015,12:17:34 PM,40.9778,23.966,17.88373668,,
AR-345_RB2_2015-10-15_S,37,10/15/2015,12:17:35 PM,40.8951,23.966,17.82746267,,
AR-345_RB2_2015-10-15_S,38,10/15/2015,12:17:36 PM,40.8226,23.966,17.77812935,,
AR-345_RB2_2015-10-15_S,39,10/15/2015,12:17:37 PM,40.7553,23.966,17.73233442,,
AR-345_RB2_2015-10-15_S,40,10/15/2015,12:17:38 PM,40.7864,23.966,17.75349671,,
AR-345_RB2_2015-10-15_S,41,10/15/2015,12:17:39 PM,40.7708,23.966,17.74288154,,
AR-345_RB2_2015-10-15_S,42,10/15/2015,12:17:40 PM,40.6726,23.966,17.67606041,,
AR-345_RB2_2015-10-15_S,43,10/15/2015,12:17:41 PM,40.538,23.966,17.58447055,,
AR-345_RB2_2015-10-15_S,44,10/15/2015,12:17:42 PM,40.4397,23.966,17.51758137,,
AR-345_RB2_2015-10-15_S,45,10/15/2015,12:17:43 PM,40.4449,23.966,17.52111976,,
AR-345_RB2_2015-10-15_S,46,10/15/2015,12:17:44 PM,40.4449,23.966,17.52111976,,
AR-345_RB2_2015-10-15_S,47,10/15/2015,12:17:45 PM,40.507,23.966,17.5633763,,
AR-345_RB2_2015-10-15_S,48,10/15/2015,12:17:46 PM,40.4708,23.966,17.53874367,,
AR-345_RB2_2015-10-15_S,49,10/15/2015,12:17:47 PM,40.4812,23.966,17.54582045,,
AR-345_RB2_2015-10-15_S,50,10/15/2015,12:17:48 PM,40.5328,23.966,17.58093216,,
AR-345_RB2_2015-10-15_S,51,10/15/2015,12:17:49 PM,40.7708,23.966,17.74288154,,
AR-345_RB2_2015-10-15_S,52,10/15/2015,12:17:50 PM,41.1021,23.966,17.9683178,,
