ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m,
AR-378_PIPES_2016-01-21_R_T2,46,1/21/2016,9:55:46 AM,31.6720,12.1100,11.5515,,
AR-378_PIPES_2016-01-21_R_T2,47,1/21/2016,9:55:47 AM,31.7121,12.1100,11.5788,,
AR-378_PIPES_2016-01-21_R_T2,48,1/21/2016,9:55:48 AM,31.7477,12.1100,11.6030,,
AR-378_PIPES_2016-01-21_R_T2,49,1/21/2016,9:55:49 AM,31.7076,12.1100,11.5757,,
AR-378_PIPES_2016-01-21_R_T2,50,1/21/2016,9:55:50 AM,31.6497,12.1100,11.5363,,
AR-378_PIPES_2016-01-21_R_T2,51,1/21/2016,9:55:51 AM,31.7699,12.1100,11.6181,,
AR-378_PIPES_2016-01-21_R_T2,52,1/21/2016,9:55:52 AM,31.8368,12.1100,11.6637,,
AR-378_PIPES_2016-01-21_R_T2,53,1/21/2016,9:55:53 AM,31.8190,12.1100,11.6515,,
AR-378_PIPES_2016-01-21_R_T2,54,1/21/2016,9:55:54 AM,31.7789,12.1100,11.6243,,
AR-378_PIPES_2016-01-21_R_T2,55,1/21/2016,9:55:55 AM,31.8235,12.1100,11.6546,,
AR-378_PIPES_2016-01-21_R_T2,56,1/21/2016,9:55:56 AM,31.7968,12.1100,11.6364,,
AR-378_PIPES_2016-01-21_R_T2,60,1/21/2016,9:56:00 AM,31.6319,12.1100,11.5242,45,MISSING 2 POINTS
AR-378_PIPES_2016-01-21_R_T2,61,1/21/2016,9:56:01 AM,31.6007,12.1100,11.5030,,
AR-378_PIPES_2016-01-21_R_T2,62,1/21/2016,9:56:02 AM,31.6854,12.1100,11.5606,,
AR-378_PIPES_2016-01-21_R_T2,63,1/21/2016,9:56:03 AM,31.8413,12.1100,11.6667,,
AR-378_PIPES_2016-01-21_R_T2,64,1/21/2016,9:56:04 AM,31.9303,12.1100,11.7273,,
AR-378_PIPES_2016-01-21_R_T2,65,1/21/2016,9:56:05 AM,31.9125,12.1100,11.7152,,
AR-378_PIPES_2016-01-21_R_T2,66,1/21/2016,9:56:06 AM,31.7656,12.1100,11.6152,,
AR-378_PIPES_2016-01-21_R_T2,67,1/21/2016,9:56:07 AM,31.5650,12.1100,11.4787,,
AR-378_PIPES_2016-01-21_R_T2,68,1/21/2016,9:56:08 AM,31.6587,12.1100,11.5425,,
AR-378_PIPES_2016-01-21_R_T2,69,1/21/2016,9:56:09 AM,31.6409,12.1100,11.5304,,
AR-378_PIPES_2016-01-21_R_T2,70,1/21/2016,9:56:10 AM,31.6097,12.1100,11.5091,,
AR-378_PIPES_2016-01-21_R_T2,71,1/21/2016,9:56:11 AM,31.6097,12.1100,11.5091,,
AR-378_PIPES_2016-01-21_R_T2,72,1/21/2016,9:56:12 AM,31.7656,12.1100,11.6152,,
AR-378_PIPES_2016-01-21_R_T2,73,1/21/2016,9:56:13 AM,31.8680,12.1100,11.6849,,
AR-378_PIPES_2016-01-21_R_T2,74,1/21/2016,9:56:14 AM,31.8501,12.1100,11.6727,,
AR-378_PIPES_2016-01-21_R_T2,75,1/21/2016,9:56:15 AM,31.6809,12.1100,11.5576,,
AR-378_PIPES_2016-01-21_R_T2,76,1/21/2016,9:56:16 AM,31.6007,12.1100,11.5030,,
AR-378_PIPES_2016-01-21_R_T2,77,1/21/2016,9:56:17 AM,31.6319,12.1100,11.5242,,
AR-378_PIPES_2016-01-21_R_T2,78,1/21/2016,9:56:18 AM,31.6809,12.1100,11.5576,,
AR-378_PIPES_2016-01-21_R_T2,79,1/21/2016,9:56:19 AM,31.5962,12.1100,11.4999,,
AR-378_PIPES_2016-01-21_R_T2,80,1/21/2016,9:56:20 AM,31.5517,12.1100,11.4697,,
AR-378_PIPES_2016-01-21_R_T2,81,1/21/2016,9:56:21 AM,31.6630,12.1100,11.5454,,
AR-378_PIPES_2016-01-21_R_T2,82,1/21/2016,9:56:22 AM,31.7566,12.1100,11.6091,,
AR-378_PIPES_2016-01-21_R_T2,83,1/21/2016,9:56:23 AM,31.4314,12.1100,11.3878,,
AR-378_PIPES_2016-01-21_R_T2,84,1/21/2016,9:56:24 AM,31.3734,12.1100,11.3483,,
AR-378_PIPES_2016-01-21_R_T2,85,1/21/2016,9:56:25 AM,31.6185,12.1100,11.5151,,
AR-378_PIPES_2016-01-21_R_T2,86,1/21/2016,9:56:26 AM,31.6587,12.1100,11.5425,,
AR-378_PIPES_2016-01-21_R_T2,87,1/21/2016,9:56:27 AM,31.6497,12.1100,11.5363,,
AR-378_PIPES_2016-01-21_R_T2,88,1/21/2016,9:56:28 AM,31.6364,12.1100,11.5273,,
AR-378_PIPES_2016-01-21_R_T2,89,1/21/2016,9:56:29 AM,31.5918,12.1100,11.4969,,
AR-378_PIPES_2016-01-21_R_T2,90,1/21/2016,9:56:30 AM,31.4938,12.1100,11.4303,,
AR-378_PIPES_2016-01-21_R_T2,91,1/21/2016,9:56:31 AM,31.5650,12.1100,11.4787,,
AR-378_PIPES_2016-01-21_R_T2,92,1/21/2016,9:56:32 AM,31.7032,12.1100,11.5727,,
AR-378_PIPES_2016-01-21_R_T2,93,1/21/2016,9:56:33 AM,31.8146,12.1100,11.6485,,
AR-378_PIPES_2016-01-21_R_T2,94,1/21/2016,9:56:34 AM,31.8101,12.1100,11.6455,,
AR-378_PIPES_2016-01-21_R_T2,95,1/21/2016,9:56:35 AM,31.7076,12.1100,11.5757,,
AR-378_PIPES_2016-01-21_R_T2,96,1/21/2016,9:56:36 AM,31.6097,12.1100,11.5091,,
AR-378_PIPES_2016-01-21_R_T2,97,1/21/2016,9:56:37 AM,31.6409,12.1100,11.5304,,
AR-378_PIPES_2016-01-21_R_T2,98,1/21/2016,9:56:38 AM,31.6497,12.1100,11.5363,,
AR-378_PIPES_2016-01-21_R_T2,99,1/21/2016,9:56:39 AM,31.6764,12.1100,11.5545,,
AR-378_PIPES_2016-01-21_R_T2,100,1/21/2016,9:56:40 AM,31.6007,12.1100,11.5030,,
AR-378_PIPES_2016-01-21_R_T2,101,1/21/2016,9:56:41 AM,31.5918,12.1100,11.4969,,
AR-378_PIPES_2016-01-21_R_T2,102,1/21/2016,9:56:42 AM,31.6630,12.1100,11.5454,,
AR-378_PIPES_2016-01-21_R_T2,103,1/21/2016,9:56:43 AM,31.7166,12.1100,11.5819,,
AR-378_PIPES_2016-01-21_R_T2,104,1/21/2016,9:56:44 AM,31.6899,12.1100,11.5637,,
AR-378_PIPES_2016-01-21_R_T2,105,1/21/2016,9:56:45 AM,31.6675,12.1100,11.5485,,
AR-378_PIPES_2016-01-21_R_T2,106,1/21/2016,9:56:46 AM,31.6185,12.1100,11.5151,,
AR-378_PIPES_2016-01-21_R_T2,107,1/21/2016,9:56:47 AM,31.5873,12.1100,11.4939,,
AR-378_PIPES_2016-01-21_R_T2,108,1/21/2016,9:56:48 AM,31.6542,12.1100,11.5394,,
AR-378_PIPES_2016-01-21_R_T2,109,1/21/2016,9:56:49 AM,31.3646,12.1100,11.3423,,
AR-378_PIPES_2016-01-21_R_T2,110,1/21/2016,9:56:50 AM,31.3244,12.1100,11.3150,,
AR-378_PIPES_2016-01-21_R_T2,111,1/21/2016,9:56:51 AM,31.3869,12.1100,11.3575,,
AR-378_PIPES_2016-01-21_R_T2,112,1/21/2016,9:56:52 AM,31.6942,12.1100,11.5666,,
AR-378_PIPES_2016-01-21_R_T2,113,1/21/2016,9:56:53 AM,31.6587,12.1100,11.5425,,
AR-378_PIPES_2016-01-21_R_T2,114,1/21/2016,9:56:54 AM,31.5606,12.1100,11.4757,,
AR-378_PIPES_2016-01-21_R_T2,115,1/21/2016,9:56:55 AM,31.5517,12.1100,11.4697,,
AR-378_PIPES_2016-01-21_R_T2,116,1/21/2016,9:56:56 AM,31.6809,12.1100,11.5576,,
AR-378_PIPES_2016-01-21_R_T2,117,1/21/2016,9:56:57 AM,31.7254,12.1100,11.5879,,
AR-378_PIPES_2016-01-21_R_T2,118,1/21/2016,9:56:58 AM,31.7432,12.1100,11.6000,,
AR-378_PIPES_2016-01-21_R_T2,119,1/21/2016,9:56:59 AM,31.6720,12.1100,11.5515,,
AR-378_PIPES_2016-01-21_R_T2,120,1/21/2016,9:57:00 AM,31.6497,12.1100,11.5363,,
AR-378_PIPES_2016-01-21_R_T2,121,1/21/2016,9:57:01 AM,31.7789,12.1100,11.6243,,
AR-378_PIPES_2016-01-21_R_T2,122,1/21/2016,9:57:02 AM,31.8190,12.1100,11.6515,,
AR-378_PIPES_2016-01-21_R_T2,123,1/21/2016,9:57:03 AM,31.7611,12.1100,11.6121,,
AR-378_PIPES_2016-01-21_R_T2,124,1/21/2016,9:57:04 AM,31.6140,12.1100,11.5120,,
AR-378_PIPES_2016-01-21_R_T2,125,1/21/2016,9:57:05 AM,31.4938,12.1100,11.4303,,
AR-378_PIPES_2016-01-21_R_T2,126,1/21/2016,9:57:06 AM,31.5517,12.1100,11.4697,,
AR-378_PIPES_2016-01-21_R_T2,127,1/21/2016,9:57:07 AM,31.5428,12.1100,11.4636,,
AR-378_PIPES_2016-01-21_R_T2,128,1/21/2016,9:57:08 AM,31.5606,12.1100,11.4757,,
AR-378_PIPES_2016-01-21_R_T2,129,1/21/2016,9:57:09 AM,31.7432,12.1100,11.6000,,
AR-378_PIPES_2016-01-21_R_T2,130,1/21/2016,9:57:10 AM,31.8323,12.1100,11.6606,,
AR-378_PIPES_2016-01-21_R_T2,131,1/21/2016,9:57:11 AM,31.7388,12.1100,11.5970,,
AR-378_PIPES_2016-01-21_R_T2,132,1/21/2016,9:57:12 AM,31.6230,12.1100,11.5182,,
AR-378_PIPES_2016-01-21_R_T2,133,1/21/2016,9:57:13 AM,31.6052,12.1100,11.5061,,
AR-378_PIPES_2016-01-21_R_T2,134,1/21/2016,9:57:14 AM,31.5740,12.1100,11.4848,30,
