ID,Sample_#,Date,Time,Abs_Pres_psi,Temp °C,Abs_Pres_m,Trans_Dist_m,
AR-345_TITAN_2016-01-27_S,1,1/27/2016,9:33:03 AM,38.2327,12.787,16.01580708,,
AR-345_TITAN_2016-01-27_S,2,1/27/2016,9:33:04 AM,37.5919,12.787,15.57976858,,
AR-345_TITAN_2016-01-27_S,3,1/27/2016,9:33:05 AM,38.0776,12.787,15.91026779,,
AR-345_TITAN_2016-01-27_S,4,1/27/2016,9:33:06 AM,38.367,12.787,16.1071928,,
AR-345_TITAN_2016-01-27_S,5,1/27/2016,9:33:07 AM,38.4599,12.787,16.17040749,,
AR-345_TITAN_2016-01-27_S,6,1/27/2016,9:33:08 AM,38.2585,12.787,16.03336293,,
AR-345_TITAN_2016-01-27_S,7,1/27/2016,9:33:09 AM,38.4238,12.787,16.1458429,,
AR-345_TITAN_2016-01-27_S,8,1/27/2016,9:33:10 AM,38.3101,12.787,16.06847465,,
AR-345_TITAN_2016-01-27_S,9,1/27/2016,9:33:11 AM,38.0982,12.787,15.92428526,,
AR-345_TITAN_2016-01-27_S,10,1/27/2016,9:33:12 AM,38.1137,12.787,15.93483239,,
AR-345_TITAN_2016-01-27_S,11,1/27/2016,9:33:13 AM,38.4547,12.787,16.1668691,,
AR-345_TITAN_2016-01-27_S,12,1/27/2016,9:33:14 AM,38.5787,12.787,16.25124609,,
AR-345_TITAN_2016-01-27_S,13,1/27/2016,9:33:15 AM,38.6098,12.787,16.27240838,,
AR-345_TITAN_2016-01-27_S,14,1/27/2016,9:33:16 AM,38.6975,12.787,16.33208469,,
AR-345_TITAN_2016-01-27_S,15,1/27/2016,9:33:17 AM,38.248,12.787,16.02621811,,
AR-345_TITAN_2016-01-27_S,16,1/27/2016,9:33:18 AM,37.9742,12.787,15.83990827,,
AR-345_TITAN_2016-01-27_S,17,1/27/2016,9:33:19 AM,37.752,12.787,15.68871015,,
AR-345_TITAN_2016-01-27_S,18,1/27/2016,9:33:20 AM,37.9123,12.787,15.79778783,,
AR-345_TITAN_2016-01-27_S,19,1/27/2016,9:33:21 AM,38.243,12.787,16.02281581,,
AR-345_TITAN_2016-01-27_S,20,1/27/2016,9:33:22 AM,38.0982,12.787,15.92428526,,
AR-345_TITAN_2016-01-27_S,21,1/27/2016,9:33:23 AM,38,12.787,15.85746413,,
AR-345_TITAN_2016-01-27_S,22,1/27/2016,9:33:24 AM,38.5065,12.787,16.20211691,30,MISSING 25
AR-345_TITAN_2016-01-27_S,23,1/27/2016,9:33:25 AM,38.398,12.787,16.12828705,,
AR-345_TITAN_2016-01-27_S,24,1/27/2016,9:33:26 AM,38.1913,12.787,15.98763605,,
AR-345_TITAN_2016-01-27_S,25,1/27/2016,9:33:27 AM,38.0518,12.787,15.89271194,,
