"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.57142857142857","semivar7.14285714285714","semivar10.7142857142857","semivar14.2857142857143","semivar17.8571428571429","semivar21.4285714285714","semivar25","semivar28.5714285714286","semivar32.1428571428571","semivar35.7142857142857","semivar39.2857142857143","semivar42.8571428571429","semivar46.4285714285714","semivar50","semivar53.5714285714286","semivar57.1428571428571","semivar60.7142857142857","semivar64.2857142857143","semivar67.8571428571429","semivar71.4285714285714","semivar75","semivar78.5714285714286","semivar82.1428571428571","semivar85.7142857142857","semivar89.2857142857143","semivar92.8571428571429","semivar96.4285714285714","semivar100","semivar103.571428571429","semivar107.142857142857","semivar110.714285714286","semivar114.285714285714","semivar117.857142857143","semivar121.428571428571","semivar125","semivar128.571428571429","semivar132.142857142857","semivar135.714285714286","semivar139.285714285714","semivar142.857142857143","semivar146.428571428571","semivar150","semivar153.571428571429","semivar157.142857142857","semivar160.714285714286","semivar164.285714285714","semivar167.857142857143","semivar171.428571428571","semivar175","semivar178.571428571429","semivar182.142857142857","semivar185.714285714286","semivar189.285714285714","semivar192.857142857143","semivar196.428571428571","semivar200","semivar203.571428571429","semivar207.142857142857","semivar210.714285714286","semivar214.285714285714","semivar217.857142857143","semivar221.428571428571","semivar225","semivar228.571428571429","semivar232.142857142857","semivar235.714285714286","semivar239.285714285714","semivar242.857142857143","semivar246.428571428571","semivar250","semivar253.571428571429","semivar257.142857142857","semivar260.714285714286","semivar264.285714285714","semivar267.857142857143","semivar271.428571428571","semivar275","semivar278.571428571429","semivar282.142857142857","semivar285.714285714286","semivar289.285714285714","semivar292.857142857143","semivar296.428571428571","semivar300"
"AR-378_RB1_2016-05-10_R_T2",17,"5/10/2016","10:15:28 AM",33.643,21.091,12.8927,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",100,3.6144578313253,0.740398200000001,"0.000745290000000018","0.00885480999999985","0.0320410000000001","0.0589518399999995","0.0713424099999996","0.0574560899999996","0.0239630399999999","0.00298115999999988","9.00000000000068e-06","0.00111556000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",18,"5/10/2016","10:15:29 AM",33.5851,21.091,12.8533,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",110,3.97590361445783,0.684234715000001,"0.0015523599999999","0.000146409999999962","0.00299209000000005","0.0194881600000004","0.0413715600000001","0.0518472900000002","0.0401200900000001","0.0133171600000002","0.000231040000000003","0.00179775999999991","3.59999999999814e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",19,"5/10/2016","10:15:30 AM",33.4914,21.091,12.7895,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",120,4.33734939759036,0.581903595,"0.00407044000000007","0.0106502399999999","0.00576080999999984","8.2810000000002e-05","0.00574564000000015","0.0194881599999999","0.02686321","0.01863225","0.00266256000000006","0.00236196000000004","0.0112784399999999","0.00487203999999986","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",20,"5/10/2016","10:15:31 AM",33.3754,21.091,12.7106,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",130,4.69879518072289,0.536801505000001,"0.00622521000000014","0.0203632900000004","0.0331604100000001","0.0239630399999999","0.00774400000000017","9.60999999999926e-06","0.00368448999999986","0.00722499999999984","0.00331775999999988","0.000745290000000018","0.0162562500000003","0.0342620100000001","0.02211169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",21,"5/10/2016","10:15:32 AM",33.3173,21.091,12.6711,55,"AR-378_RB1_2016-05-10_R_T2_final.csv",140,5.06024096385542,0.501125355000002,"0.00156025000000002","0.0140185600000003","0.0331968400000006","0.0491065600000002","0.0377524900000001","0.0162562500000003","0.00181476000000002","0.000449439999999939","0.00207024999999989","0.000327609999999952","0.00446224000000009","0.0278890000000005","0.0504451600000003","0.0354192400000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",26,"5/10/2016","10:15:37 AM",33.6608,21.091,12.9048,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",150,5.42168674698795,0.499709720000002,"0.0546156900000003","0.0377136400000001","0.0132940899999999","0.0026522499999999","0.000146410000000005","0.00155236000000004","0.0112784399999999","0.0365192100000002","0.0649740099999996","0.0779526399999997","0.0634032399999997","0.02785561","0.00444888999999988","8.2810000000002e-05","0.00207025000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",27,"5/10/2016","10:15:38 AM",33.6831,21.091,12.92,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",160,5.78313253012048,0.492021915000001,"0.000231040000000003","0.0619512100000004","0.0438483600000002","0.0170302499999999","0.00444888999999988","0.000745290000000018","0.00298116000000007","0.0147379599999999","0.0425596900000002","0.0729540099999996","0.0866713599999997","0.0712889999999997","0.0331604100000001","0.00670760999999987","0.00059049000000001","0.00368449000000008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",28,"5/10/2016","10:15:39 AM",33.7055,21.091,12.9352,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",170,6.14457831325301,0.499797875000001,"0.000231040000000003","0.000924160000000012","0.0697488100000005","0.0504451600000003","0.0212284899999999","0.00670760999999987","0.00180625000000004","0.00487204000000011","0.0186595599999999","0.0490622500000003","0.0813960899999997","0.0958521599999998","0.0796368399999998","0.0389272900000001","0.00942840999999986","0.00156025000000002","0.00576081000000011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",29,"5/10/2016","10:15:40 AM",33.5894,21.091,12.8562,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",180,6.50602409638554,0.55458214,"0.0062410000000001","0.00407044000000007","0.00236196000000004","0.0342620100000001","0.02119936","0.00444888999999988","8.40999999999171e-06","0.00133225000000001","8.46399999999977e-05","0.00331775999999988","0.02030625","0.0425596899999995","0.0531763599999996","0.0412902399999996","0.0139948899999999","0.000327609999999952","0.00156025000000002","9.60999999999926e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T2",30,"5/10/2016","10:15:41 AM",33.4735,21.091,12.7774,NA,"AR-378_RB1_2016-05-10_R_T2_final.csv",190,6.86746987951807,0.630525355,"0.00620943999999989","0.02490084","0.02033476","0.0162307599999999","0.0112996900000002","0.00446224000000009","0.000146410000000005","0.00576081000000011","0.0132940899999999","0.00774399999999986","0.000449440000000014","0.0040576900000001","0.0162562499999999","0.0230432399999999","0.0154753599999999","0.00156025000000002","0.00368449000000008","0.0139948899999999","0.00670760999999987","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
