"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.15789473684211","semivar6.31578947368421","semivar9.47368421052632","semivar12.6315789473684","semivar15.7894736842105","semivar18.9473684210526","semivar22.1052631578947","semivar25.2631578947368","semivar28.4210526315789","semivar31.5789473684211","semivar34.7368421052632","semivar37.8947368421053","semivar41.0526315789474","semivar44.2105263157895","semivar47.3684210526316","semivar50.5263157894737","semivar53.6842105263158","semivar56.8421052631579","semivar60","semivar63.1578947368421","semivar66.3157894736842","semivar69.4736842105263","semivar72.6315789473684","semivar75.7894736842105","semivar78.9473684210526","semivar82.1052631578947","semivar85.2631578947368","semivar88.4210526315789","semivar91.5789473684211","semivar94.7368421052632","semivar97.8947368421053","semivar101.052631578947","semivar104.210526315789","semivar107.368421052632","semivar110.526315789474","semivar113.684210526316","semivar116.842105263158","semivar120","semivar123.157894736842","semivar126.315789473684","semivar129.473684210526","semivar132.631578947368","semivar135.789473684211","semivar138.947368421053","semivar142.105263157895","semivar145.263157894737","semivar148.421052631579","semivar151.578947368421","semivar154.736842105263","semivar157.894736842105","semivar161.052631578947","semivar164.210526315789","semivar167.368421052632","semivar170.526315789474","semivar173.684210526316","semivar176.842105263158","semivar180","semivar183.157894736842","semivar186.315789473684","semivar189.473684210526","semivar192.631578947368","semivar195.789473684211","semivar198.947368421053","semivar202.105263157895","semivar205.263157894737","semivar208.421052631579","semivar211.578947368421","semivar214.736842105263","semivar217.894736842105","semivar221.052631578947","semivar224.210526315789","semivar227.368421052632","semivar230.526315789474","semivar233.684210526316","semivar236.842105263158","semivar240","semivar243.157894736842","semivar246.315789473684","semivar249.473684210526","semivar252.631578947368","semivar255.789473684211","semivar258.947368421053","semivar262.105263157895","semivar265.263157894737","semivar268.421052631579","semivar271.578947368421","semivar274.736842105263","semivar277.894736842105","semivar281.052631578947","semivar284.210526315789","semivar287.368421052632","semivar290.526315789474","semivar293.684210526316","semivar296.842105263158","semivar300"
"AR-378_PODS_2016-03-17_R_T1",16,"3/17/2016","12:10:48 PM",33.5649,13.846,12.8396,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",100,3.19148936170213,0.490472020000003,"0.0106296100000003","0.01946025","0.0257923600000002","0.0229522500000001","0.0106296100000003","0.0100000000000003","0.000918090000000027","3.59999999999814e-05","0.00484415999999992","0.00770883999999994","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",17,"3/17/2016","12:10:49 PM",33.5559,13.846,12.8334,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",110,3.51063829787234,0.581893635000003,"3.84400000000191e-05","0.00938960999999995","0.0177688899999996","0.0238393599999997","0.0211120899999997","0.00938960999999995","0.00879843999999998","0.000580809999999947","0.00014884","0.00574564000000015","0.00883600000000022","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",18,"3/17/2016","12:10:50 PM",33.5559,13.846,12.8334,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",120,3.82978723404255,0.715780400000003,"0","3.84400000000191e-05","0.00938960999999995","0.0177688899999996","0.0238393599999997","0.0211120899999997","0.00938960999999995","0.00879843999999998","0.000580809999999947","0.00014884","0.00574564000000015","0.00883600000000022","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",19,"3/17/2016","12:10:51 PM",33.6807,13.846,12.9184,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",130,4.14893617021277,0.903410520000003,"0.00722500000000015","0.00722500000000015","0.00620943999999989","0.0330876100000002","0.0476548899999997","0.0573123599999999","0.0530380899999999","0.0330876100000002","0.0319694400000003","0.0119028099999999","0.00529984000000013","8.46399999999977e-05","8.10000000000061e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",20,"3/17/2016","12:10:52 PM",33.8009,13.846,13.0001,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",140,4.46808510638298,1.05678184,"0.00667488999999994","0.0277888900000002","0.0277888900000002","0.0257602499999997","0.0694849600000002","0.0899999999999994","0.10310521","0.0973439999999996","0.0694849600000002","0.0678602500000002","0.0364046399999998","0.0238702500000002","0.00826280999999992","0.0052852899999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",21,"3/17/2016","12:10:53 PM",33.8409,13.846,13.0274,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",150,4.78723404255319,1.16998353,"0.000745290000000018","0.011881","0.0376360000000003","0.0376360000000003","0.0352688399999997","0.0846228100000004","0.10712529","0.12138256","0.11512449","0.0846228100000004","0.0828288400000004","0.0475676099999999","0.0330512400000003","0.01397124","0.00999999999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",22,"3/17/2016","12:10:54 PM",33.7297,13.846,12.9517,25,"AR-378_PODS_2016-03-17_R_T1_final.csv",160,5.1063829787234,1.15112067,"0.00573048999999991","0.00234255999999991","0.00110889000000004","0.0139948900000003","0.0139948900000003","0.01256641","0.0463110400000005","0.0633025599999999","0.0743652900000002","0.0694849600000002","0.0463110400000005","0.0449864100000005","0.0202777600000001","0.0112572100000003","0.00180625000000004","0.00059049000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",27,"3/17/2016","12:10:59 PM",33.4047,13.846,12.7305,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",170,5.42553191489362,0.995160995000002,"0.0489294400000006","0.0881496100000005","0.0726841600000003","0.0353064100000003","0.01058841","0.01058841","0.0119028100000003","3.60000000000027e-05","0.000924159999999904","0.0026522499999999","0.00179775999999991","3.60000000000027e-05","8.2810000000002e-05","0.00620944000000017","0.01324801","0.0319336900000003","0.0387696100000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",28,"3/17/2016","12:11:00 PM",33.4135,13.846,12.7365,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",180,5.74468085106383,0.795013665000002,"3.60000000000027e-05","0.0463110400000005","0.0846228100000004","0.0694849600000002","0.0330876100000002","0.00938960999999995","0.00938960999999995","0.0106296100000003","0","0.0013249599999999","0.00330624999999991","0.00234255999999991","0","9.60999999999926e-06","0.00529984000000013","0.0119028099999999","0.0298252900000003","0.0364428100000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_PODS_2016-03-17_R_T1",29,"3/17/2016","12:11:01 PM",33.4402,13.846,12.7547,NA,"AR-378_PODS_2016-03-17_R_T1_final.csv",190,6.06382978723404,0.636645955000002,"0.000331240000000008","0.000585640000000021","0.0388090000000004","0.0743652900000002","0.06022116","0.0267976900000001","0.00619368999999993","0.00619368999999993","0.00720801000000018","0.000331240000000008","0.00298115999999988","0.00573048999999991","0.00443555999999991","0.000331240000000008","0.00022801000000001","0.00298116000000007","0.00826280999999992","0.0238702500000002","0.0298252900000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
