"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.65486725663717","semivar5.30973451327434","semivar7.9646017699115","semivar10.6194690265487","semivar13.2743362831858","semivar15.929203539823","semivar18.5840707964602","semivar21.2389380530973","semivar23.8938053097345","semivar26.5486725663717","semivar29.2035398230088","semivar31.858407079646","semivar34.5132743362832","semivar37.1681415929204","semivar39.8230088495575","semivar42.4778761061947","semivar45.1327433628319","semivar47.787610619469","semivar50.4424778761062","semivar53.0973451327434","semivar55.7522123893805","semivar58.4070796460177","semivar61.0619469026549","semivar63.716814159292","semivar66.3716814159292","semivar69.0265486725664","semivar71.6814159292035","semivar74.3362831858407","semivar76.9911504424779","semivar79.646017699115","semivar82.3008849557522","semivar84.9557522123894","semivar87.6106194690265","semivar90.2654867256637","semivar92.9203539823009","semivar95.5752212389381","semivar98.2300884955752","semivar100.884955752212","semivar103.53982300885","semivar106.194690265487","semivar108.849557522124","semivar111.504424778761","semivar114.159292035398","semivar116.814159292035","semivar119.469026548673","semivar122.12389380531","semivar124.778761061947","semivar127.433628318584","semivar130.088495575221","semivar132.743362831858","semivar135.398230088496","semivar138.053097345133","semivar140.70796460177","semivar143.362831858407","semivar146.017699115044","semivar148.672566371681","semivar151.327433628319","semivar153.982300884956","semivar156.637168141593","semivar159.29203539823","semivar161.946902654867","semivar164.601769911504","semivar167.256637168142","semivar169.911504424779","semivar172.566371681416","semivar175.221238938053","semivar177.87610619469","semivar180.530973451327","semivar183.185840707965","semivar185.840707964602","semivar188.495575221239","semivar191.150442477876","semivar193.805309734513","semivar196.46017699115","semivar199.115044247788","semivar201.769911504425","semivar204.424778761062","semivar207.079646017699","semivar209.734513274336","semivar212.389380530973","semivar215.044247787611","semivar217.699115044248","semivar220.353982300885","semivar223.008849557522","semivar225.663716814159","semivar228.318584070796","semivar230.973451327434","semivar233.628318584071","semivar236.283185840708","semivar238.938053097345","semivar241.592920353982","semivar244.247787610619","semivar246.902654867257","semivar249.557522123894","semivar252.212389380531","semivar254.867256637168","semivar257.522123893805","semivar260.176991150442","semivar262.83185840708","semivar265.486725663717","semivar268.141592920354","semivar270.796460176991","semivar273.451327433628","semivar276.106194690266","semivar278.761061946903","semivar281.41592920354","semivar284.070796460177","semivar286.725663716814","semivar289.380530973451","semivar292.035398230089","semivar294.690265486726","semivar297.345132743363","semivar300"
"AR-364_BARGE_2016-03-09_R_T3",20,"3/9/2016","11:01:40 AM",33.8274,12.98,13.0182,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",100,2.67857142857143,0.244752750000001,"0.00178929000000008","0.00443556000000015","0.00206116000000007","0.000146410000000005","0.00059049000000001","0.000745290000000018","0","9.00000000000068e-06","3.72099999999999e-05","9.00000000000068e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",21,"3/9/2016","11:01:41 AM",33.8319,12.98,13.0212,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",110,2.94642857142857,0.246642525000001,"9.00000000000068e-06","0.00205209000000009","0.00484416000000017","0.00234256000000009","0.00022801000000001","0.000453690000000004","0.00059049000000001","9.00000000000068e-06","0","9.60999999999926e-06","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",22,"3/9/2016","11:01:42 AM",33.8274,12.98,13.0182,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",120,3.21428571428571,0.221107060000001,"9.00000000000068e-06","0","0.00178929000000008","0.00443556000000015","0.00206116000000007","0.000146410000000005","0.00059049000000001","0.000745290000000018","0","9.00000000000068e-06","3.72099999999999e-05","9.00000000000068e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",23,"3/9/2016","11:01:43 AM",33.7696,12.98,12.9788,85,"AR-364_BARGE_2016-03-09_R_T3_final.csv",130,3.48214285714286,0.182632075000001,"0.00155236000000004","0.00179776000000006","0.00155236000000004","8.41000000000201e-06","0.00073984000000003","3.60000000000027e-05","0.000745290000000018","0.0040576900000001","0.00444889000000012","0.00155236000000004","0.00179776000000006","0.00207025000000005","0.00179776000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",28,"3/9/2016","11:01:48 AM",33.7429,12.98,12.9607,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",140,3.75,0.163576565000001,"0.000327610000000016","0.00330625000000011","0.00366025000000013","0.00330625000000011","0.000231040000000003","8.2810000000002e-05","0.000146410000000005","0.00206116000000007","0.0066912400000002","0.00719104000000022","0.00330625000000011","0.00366025000000013","0.00404496000000013","0.00366025000000013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",29,"3/9/2016","11:01:49 AM",33.6628,12.98,12.9062,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",150,4.01785714285714,0.163797420000001,"0.0029702499999999","0.00527075999999994","0.012544","0.013225","0.012544","0.00485808999999989","0.00206115999999991","0.00443555999999991","0.00998000999999997","0.0185776900000001","0.0194044900000001","0.012544","0.013225","0.01394761","0.013225","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",30,"3/9/2016","11:01:50 AM",33.725,12.98,12.9485,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",160,4.28571428571429,0.182475960000001,"0.00178928999999993","0.00014884","0.000918090000000027","0.00485809000000014","0.00528529000000016","0.00485809000000014","0.000750760000000005","9.60999999999926e-06","0.00059049000000001","0.00331776000000009","0.00883600000000022","0.00940900000000025","0.00485809000000014","0.00528529000000016","0.00574564000000015","0.00528529000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",31,"3/9/2016","11:01:51 AM",33.6316,12.98,12.8849,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",170,4.55357142857143,0.197443175000002,"0.0040449599999999","0.000453690000000004","0.00574563999999988","0.00881720999999993","0.0177688900000001","0.0185776900000001","0.0177688900000001","0.00828099999999987","0.00444888999999988","0.0077264099999999","0.01468944","0.0248377600000001","0.0257923600000002","0.0177688900000001","0.0185776900000001","0.0194323600000001","0.0185776900000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",32,"3/9/2016","11:01:52 AM",33.7741,12.98,12.9819,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",180,4.82142857142857,0.209178965000002,"0.00940899999999991","0.00111556000000002","0.00573048999999991","0.000449440000000014","9.60999999999926e-06","0.00131769000000005","0.00154449000000006","0.00131769000000005","3.60000000000027e-05","0.000918090000000027","8.2810000000002e-05","0.000585640000000021","0.00367236000000011","0.00404496000000013","0.00131769000000005","0.00154449000000006","0.00179776000000006","0.00154449000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_BARGE_2016-03-09_R_T3",33,"3/9/2016","11:01:53 AM",33.872,12.98,13.0485,NA,"AR-364_BARGE_2016-03-09_R_T3_final.csv",190,5.08928571428571,0.214932560000002,"0.00443556000000015","0.0267649600000002","0.0100000000000003","0.0202492900000002","0.00770884000000025","0.00485809000000014","0.000918090000000027","0.000745290000000018","0.000918090000000027","0.00527076000000019","0.0093896100000003","0.00573049000000018","0.00179776000000006","3.60000000000027e-05","9.00000000000068e-06","0.000918090000000027","0.000745290000000018","0.000585640000000021","0.000745290000000018","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
