"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.9126213592233","semivar5.8252427184466","semivar8.7378640776699","semivar11.6504854368932","semivar14.5631067961165","semivar17.4757281553398","semivar20.3883495145631","semivar23.3009708737864","semivar26.2135922330097","semivar29.126213592233","semivar32.0388349514563","semivar34.9514563106796","semivar37.8640776699029","semivar40.7766990291262","semivar43.6893203883495","semivar46.6019417475728","semivar49.5145631067961","semivar52.4271844660194","semivar55.3398058252427","semivar58.252427184466","semivar61.1650485436893","semivar64.0776699029126","semivar66.9902912621359","semivar69.9029126213592","semivar72.8155339805825","semivar75.7281553398058","semivar78.6407766990291","semivar81.5533980582524","semivar84.4660194174757","semivar87.378640776699","semivar90.2912621359223","semivar93.2038834951456","semivar96.1165048543689","semivar99.0291262135922","semivar101.941747572816","semivar104.854368932039","semivar107.766990291262","semivar110.679611650485","semivar113.592233009709","semivar116.504854368932","semivar119.417475728155","semivar122.330097087379","semivar125.242718446602","semivar128.155339805825","semivar131.067961165049","semivar133.980582524272","semivar136.893203883495","semivar139.805825242718","semivar142.718446601942","semivar145.631067961165","semivar148.543689320388","semivar151.456310679612","semivar154.368932038835","semivar157.281553398058","semivar160.194174757282","semivar163.106796116505","semivar166.019417475728","semivar168.932038834951","semivar171.844660194175","semivar174.757281553398","semivar177.669902912621","semivar180.582524271845","semivar183.495145631068","semivar186.407766990291","semivar189.320388349515","semivar192.233009708738","semivar195.145631067961","semivar198.058252427184","semivar200.970873786408","semivar203.883495145631","semivar206.796116504854","semivar209.708737864078","semivar212.621359223301","semivar215.533980582524","semivar218.446601941748","semivar221.359223300971","semivar224.271844660194","semivar227.184466019417","semivar230.097087378641","semivar233.009708737864","semivar235.922330097087","semivar238.834951456311","semivar241.747572815534","semivar244.660194174757","semivar247.572815533981","semivar250.485436893204","semivar253.398058252427","semivar256.31067961165","semivar259.223300970874","semivar262.135922330097","semivar265.04854368932","semivar267.961165048544","semivar270.873786407767","semivar273.78640776699","semivar276.699029126214","semivar279.611650485437","semivar282.52427184466","semivar285.436893203883","semivar288.349514563107","semivar291.26213592233","semivar294.174757281553","semivar297.087378640777","semivar300"
"AR-330_INDRA_2015-12-11_R_T1",16,"12/11/2015","10:53:59 AM",42.5494,18.045,18.9531,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",100,2.94117647058824,0.996527005000003,"0.000600249999999988","0.00177240999999982","1.36900000000151e-05","0.000198809999999975","0.0017808400000001","0.000198809999999975","0.00597528999999961","0.0035760399999999","0.00446224000000009","0.000600249999999988","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",17,"12/11/2015","10:54:00 AM",42.5908,18.045,18.9813,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",110,3.23529411764706,1.191068475,"0.0007952400000001","0.00277729000000016","0.00494208999999994","0.000600249999999988","0.000198810000000075","0.000195999999999982","0.000198810000000075","0.0111302499999998","0.00774400000000017","0.00902500000000046","0.00277729000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",18,"12/11/2015","10:54:01 AM",42.5805,18.045,18.9743,25,"AR-330_INDRA_2015-12-11_R_T1_final.csv",120,3.52941176470588,1.28005384,"4.90000000000203e-05","0.000449440000000014","0.00208849000000001","0.00400688999999976","0.00030624999999994","5.04100000000173e-05","0.000441000000000033","5.04100000000173e-05","0.00970224999999957","0.00656099999999992","0.00774400000000017","0.00208849000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",26,"12/11/2015","10:54:09 AM",42.7096,18.045,19.0622,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",130,3.82352941176471,1.270629465,"0.00772641000000021","0.00654480999999996","0.0119028100000003","0.0178489600000003","0.0228614399999998","0.0111091599999999","0.00902500000000046","0.00447561000000005","0.00902500000000046","0.0347449599999996","0.0285272100000002","0.0309408100000008","0.0178489600000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",27,"12/11/2015","10:54:10 AM",42.7199,18.045,19.0692,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",140,4.11764705882353,1.229215345,"4.89999999999706e-05","0.00900600999999983","0.00772640999999959","0.0134792099999999","0.0197683599999998","0.0250272399999991","0.0126337599999994","0.0104040000000001","0.00546120999999975","0.0104040000000001","0.0374035599999988","0.0309408099999995","0.03345241","0.0197683599999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",28,"12/11/2015","10:54:11 AM",42.6166,18.045,18.9989,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",150,4.41176470588235,1.222404325,"0.00494208999999994","0.00400689000000021","0.000605159999999976","0.000309759999999932","0.00209763999999999","0.00494208999999994","0.00772640999999959","0.00177240999999982","0.00100489000000005","1.29599999999907e-05","0.00100489000000005","0.0151536099999993","0.0111513599999998","0.0126787600000001","0.00494208999999994","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",29,"12/11/2015","10:54:12 AM",42.4978,18.045,18.918,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",160,4.70588235294118,1.26907007,"0.00654480999999996","0.0228614399999998","0.0207936400000004","0.00316969000000003","0.00400689000000021","0.00123200999999999","0.000112360000000003","4.89999999999706e-05","0.00150544000000015","0.0024206399999999","0.00597529000000016","0.0024206399999999","0.0017808399999998","0.000610089999999964","0.00100489000000005","0.000112360000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",30,"12/11/2015","10:54:13 AM",42.379,18.045,18.8372,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",170,5,1.39297474,"0.00652864","0.0261468899999999","0.0538239999999997","0.0506250000000006","0.0187964100000001","0.0207648100000005","0.01343281","0.00835396000000003","0.00544644000000031","0.0143041600000005","0.0168999999999997","0.0249956100000003","0.0168999999999997","0.00148996000000019","0.00314721000000008","0.00241080999999993","0.00835396000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",31,"12/11/2015","10:54:14 AM",42.3893,18.045,18.8442,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",180,5.29411764705882,1.56308442,"4.90000000000203e-05","0.00544643999999978","0.0239320899999995","0.050624999999999","0.047524","0.0169260099999997","0.0187964100000001","0.0118592099999997","0.00712335999999978","0.00446224000000009","0.0126787600000001","0.0151289999999994","0.0228312099999999","0.0151289999999994","0.000998560000000061","0.00241080999999993","0.00177240999999982","0.00712335999999978","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",32,"12/11/2015","10:54:15 AM",42.4615,18.045,18.8933,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",190,5.58823529411765,1.73664814000001,"0.00241080999999993","0.00314721000000008","0.000610089999999964","0.0111513599999998","0.0309408099999995","0.0285272100000002","0.00656099999999992","0.00774400000000017","0.0035760399999999","0.00124608999999996","0.000313290000000049","0.00403225000000016","0.00546120999999975","0.0104040000000001","0.00546120999999975","0.00030624999999994","0","4.90000000000203e-05","0.00124608999999996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",33,"12/11/2015","10:54:16 AM",42.5855,18.045,18.9777,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",200,5.88235294117647,1.87391529000001,"0.00712335999999978","0.0178222499999995","0.0197402499999998","0.00356408999999993","0.000449440000000014","0.00837224999999998","0.00714025000000034","1.15599999999944e-05","1.29600000000163e-05","0.000605159999999976","0.00241080999999993","0.00444888999999964","0.000436809999999894","0.000110250000000008","0.000309760000000057","0.000110250000000008","0.0103836099999994","0.00712335999999978","0.00835396000000003","0.00241080999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",34,"12/11/2015","10:54:17 AM",42.7096,18.045,19.0622,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",210,6.17647058823529,1.94397201500001,"0.00714025000000034","0.0285272100000002","0.047524","0.0506250000000006","0.0207936400000004","0.00400689000000021","4.89999999999706e-05","0","0.00772641000000021","0.00654480999999996","0.0119028100000003","0.0178489600000003","0.0228614399999998","0.0111091599999999","0.00902500000000046","0.00447561000000005","0.00902500000000046","0.0347449599999996","0.0285272100000002","0.0309408100000008","0.0178489600000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",35,"12/11/2015","10:54:18 AM",42.7664,18.045,19.1008,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",220,6.47058823529412,1.92308138,"0.00148995999999991","0.0151536100000002","0.0430562499999998","0.0658435599999994","0.0694849600000002","0.0334158400000001","0.0103836100000001","0.000998560000000061","0.00148995999999991","0.01600225","0.0142802499999997","0.0218152900000001","0.02965284","0.0360240399999993","0.0207359999999995","0.0178489600000003","0.0111302499999998","0.0178489600000003","0.050624999999999","0.0430562499999998","0.0460102500000004","0.02965284","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_INDRA_2015-12-11_R_T1",36,"12/11/2015","10:54:19 AM",42.7406,18.045,19.0833,NA,"AR-330_INDRA_2015-12-11_R_T1_final.csv",230,6.76470588235294,1.889715485,"0.00030624999999994","0.000445210000000024","0.0111513600000005","0.0361000000000005","0.0571688100000003","0.060565210000001","0.0273240900000007","0.00712336000000038","0.000198810000000075","0.000445210000000024","0.0118810000000004","0.0104040000000001","0.0169520400000005","0.0239320900000006","0.02968729","0.01600225","0.0134792100000007","0.00774400000000017","0.0134792100000007","0.0430562499999998","0.0361000000000005","0.0388090000000011","0.0239320900000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
