"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.45901639344262","semivar4.91803278688525","semivar7.37704918032787","semivar9.83606557377049","semivar12.2950819672131","semivar14.7540983606557","semivar17.2131147540984","semivar19.672131147541","semivar22.1311475409836","semivar24.5901639344262","semivar27.0491803278689","semivar29.5081967213115","semivar31.9672131147541","semivar34.4262295081967","semivar36.8852459016393","semivar39.344262295082","semivar41.8032786885246","semivar44.2622950819672","semivar46.7213114754098","semivar49.1803278688525","semivar51.6393442622951","semivar54.0983606557377","semivar56.5573770491803","semivar59.0163934426229","semivar61.4754098360656","semivar63.9344262295082","semivar66.3934426229508","semivar68.8524590163934","semivar71.3114754098361","semivar73.7704918032787","semivar76.2295081967213","semivar78.6885245901639","semivar81.1475409836066","semivar83.6065573770492","semivar86.0655737704918","semivar88.5245901639344","semivar90.983606557377","semivar93.4426229508197","semivar95.9016393442623","semivar98.3606557377049","semivar100.819672131148","semivar103.27868852459","semivar105.737704918033","semivar108.196721311475","semivar110.655737704918","semivar113.114754098361","semivar115.573770491803","semivar118.032786885246","semivar120.491803278689","semivar122.950819672131","semivar125.409836065574","semivar127.868852459016","semivar130.327868852459","semivar132.786885245902","semivar135.245901639344","semivar137.704918032787","semivar140.16393442623","semivar142.622950819672","semivar145.081967213115","semivar147.540983606557","semivar150","semivar152.459016393443","semivar154.918032786885","semivar157.377049180328","semivar159.83606557377","semivar162.295081967213","semivar164.754098360656","semivar167.213114754098","semivar169.672131147541","semivar172.131147540984","semivar174.590163934426","semivar177.049180327869","semivar179.508196721311","semivar181.967213114754","semivar184.426229508197","semivar186.885245901639","semivar189.344262295082","semivar191.803278688525","semivar194.262295081967","semivar196.72131147541","semivar199.180327868852","semivar201.639344262295","semivar204.098360655738","semivar206.55737704918","semivar209.016393442623","semivar211.475409836066","semivar213.934426229508","semivar216.393442622951","semivar218.852459016393","semivar221.311475409836","semivar223.770491803279","semivar226.229508196721","semivar228.688524590164","semivar231.147540983607","semivar233.606557377049","semivar236.065573770492","semivar238.524590163934","semivar240.983606557377","semivar243.44262295082","semivar245.901639344262","semivar248.360655737705","semivar250.819672131148","semivar253.27868852459","semivar255.737704918033","semivar258.196721311475","semivar260.655737704918","semivar263.114754098361","semivar265.573770491803","semivar268.032786885246","semivar270.491803278689","semivar272.950819672131","semivar275.409836065574","semivar277.868852459016","semivar280.327868852459","semivar282.786885245902","semivar285.245901639344","semivar287.704918032787","semivar290.16393442623","semivar292.622950819672","semivar295.081967213115","semivar297.540983606557","semivar300"
"AR-364_TUGBOAT_2015-12-10_R_T3",19,"12/10/2015","2:58:52 PM",34.1008,16.141,13.20421613,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",100,2.47933884297521,1.08277062734331,"0.00132034413917152","0.0239012867721677","0.0794757289273599","0.109139791056134","0.115201347487297","0.0727565278602716","0.0364829100249995","0.0132714547232399","0.00137025828899991","0.00180290934606236","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",20,"12/10/2015","2:58:53 PM",34.1499,16.141,13.23762669,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",110,2.72727272727273,1.19149253205953,"0.00111626551951361","8.56135896039282e-06","0.0146869797430222","0.0617541584947454","0.0881808228905532","0.0936376401671817","0.0558488533699037","0.0248360075189132","0.0066898069407375","1.30064094735903e-05","8.19046720143909e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",21,"12/10/2015","2:58:54 PM",34.2746,16.141,13.32248,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",120,2.97520661157025,1.1573316831229,"0.00720008421795606","0.0139863429473769","0.00671208740092906","0.00132034413917152","0.0267814959692809","0.0449860918505623","0.0489070438513965","0.0229432548114957","0.00529127199367674","9.37627268490221e-06","0.00660105388479708","0.00574612361417614","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",22,"12/10/2015","2:58:55 PM",34.3903,16.141,13.40120918,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",130,3.22314049586777,0.986538913945223,"0.00619828378347238","0.0267592310346","0.0388062617483024","0.0258105142053804","0.00179713592616968","0.00721163568582252","0.0177875755718048","0.0202835105196359","0.00529127199367674","3.58567428025109e-05","0.00668980857656253","0.0255923365736028","0.0238802533778169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",23,"12/10/2015","2:58:56 PM",34.4794,16.141,13.46183813,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",140,3.47107438016529,0.826122381717065,"0.00367586957810249","0.0194206883970968","0.0502707698268734","0.0663690948839998","0.0489672548074119","0.0106134480061283","0.00059012069776001","0.00529127053885438","0.0066898069407375","0.000146704904352376","0.00443782468900011","0.02028351336804","0.0486665660250004","0.0462943936241424","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",24,"12/10/2015","2:58:57 PM",34.4794,16.141,13.46183813,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",150,3.71900826446281,0.782451389622817,"0","0.00367586957810249","0.0194206883970968","0.0502707698268734","0.0663690948839998","0.0489672548074119","0.0106134480061283","0.00059012069776001","0.00529127053885438","0.0066898069407375","0.000146704904352376","0.00443782468900011","0.02028351336804","0.0486665660250004","0.0462943936241424","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",25,"12/10/2015","2:58:58 PM",34.4037,16.141,13.41032734,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",160,3.96694214876033,0.973953027436092,"0.0026533614864241","0.0026533614864241","8.31408417855977e-05","0.00771715514507555","0.0298255145104223","0.0424818308876639","0.0288234385736091","0.00265336251664009","0.00574612361417614","0.0154385371386481","0.0177694312021207","0.00404788231162078","0.000228197580564124","0.00826452082654811","0.0285928518555244","0.0267814959692809","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",26,"12/10/2015","2:58:59 PM",34.3636,16.141,13.38304091,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",170,4.21487603305785,1.18577802684201,"0.000744549262144911","0.00620900187972844","0.00620900187972844","0.000330086034792912","0.00366762382002804","0.0211452953782082","0.0319783019420482","0.0203028985382977","0.000586820101896932","0.0106274697517445","0.0229638684899556","0.0257886534851715","0.00826451900835986","0.000148357759248386","0.00404788358408039","0.0201094464685286","0.0185951677688099","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",27,"12/10/2015","2:59:00 PM",34.2611,16.141,13.3132938,NA,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",180,4.46280991735537,1.312155123602,"0.00486465935335207","0.0094155078849316","0.0220654179751489","0.0220654179751489","0.00772911404054442","8.43862704400047e-05","0.00572551153575202","0.0118979380926288","0.005291271993677","0.00207231985710752","0.029872535237093","0.0489672503817025","0.0530544748072246","0.0258105142053798","0.00671208740092877","3.75049682568987e-05","0.00519274016084902","0.0044378233566601","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2015-12-10_R_T3",32,"12/10/2015","2:59:05 PM",34.377,16.141,13.39215906,85,"AR-364_TUGBOAT_2015-12-10_R_T3_final.csv",190,4.71074380165289,1.29092969659196,"0.00621972923486741","8.31406594224826e-05","0.000330086398158442","0.00485517279606506","0.00485517279606506","8.1904672014423e-05","0.0048551714024834","0.0238802533778164","0.0353225449369843","0.022984497488832","0.00111172363995038","0.00883063717396116","0.0202835105196364","0.0229432548114963","0.00668980857656253","9.37627268490221e-06","0.00529127199367674","0.0227786363463648","0.0211650850650622","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
