"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.60869565217391","semivar5.21739130434783","semivar7.82608695652174","semivar10.4347826086957","semivar13.0434782608696","semivar15.6521739130435","semivar18.2608695652174","semivar20.8695652173913","semivar23.4782608695652","semivar26.0869565217391","semivar28.695652173913","semivar31.304347826087","semivar33.9130434782609","semivar36.5217391304348","semivar39.1304347826087","semivar41.7391304347826","semivar44.3478260869565","semivar46.9565217391304","semivar49.5652173913044","semivar52.1739130434783","semivar54.7826086956522","semivar57.3913043478261","semivar60","semivar62.6086956521739","semivar65.2173913043478","semivar67.8260869565217","semivar70.4347826086957","semivar73.0434782608696","semivar75.6521739130435","semivar78.2608695652174","semivar80.8695652173913","semivar83.4782608695652","semivar86.0869565217391","semivar88.695652173913","semivar91.304347826087","semivar93.9130434782609","semivar96.5217391304348","semivar99.1304347826087","semivar101.739130434783","semivar104.347826086957","semivar106.95652173913","semivar109.565217391304","semivar112.173913043478","semivar114.782608695652","semivar117.391304347826","semivar120","semivar122.608695652174","semivar125.217391304348","semivar127.826086956522","semivar130.434782608696","semivar133.04347826087","semivar135.652173913043","semivar138.260869565217","semivar140.869565217391","semivar143.478260869565","semivar146.086956521739","semivar148.695652173913","semivar151.304347826087","semivar153.913043478261","semivar156.521739130435","semivar159.130434782609","semivar161.739130434783","semivar164.347826086957","semivar166.95652173913","semivar169.565217391304","semivar172.173913043478","semivar174.782608695652","semivar177.391304347826","semivar180","semivar182.608695652174","semivar185.217391304348","semivar187.826086956522","semivar190.434782608696","semivar193.04347826087","semivar195.652173913043","semivar198.260869565217","semivar200.869565217391","semivar203.478260869565","semivar206.086956521739","semivar208.695652173913","semivar211.304347826087","semivar213.913043478261","semivar216.521739130435","semivar219.130434782609","semivar221.739130434783","semivar224.347826086957","semivar226.95652173913","semivar229.565217391304","semivar232.173913043478","semivar234.782608695652","semivar237.391304347826","semivar240","semivar242.608695652174","semivar245.217391304348","semivar247.826086956522","semivar250.434782608696","semivar253.04347826087","semivar255.652173913043","semivar258.260869565217","semivar260.869565217391","semivar263.478260869565","semivar266.086956521739","semivar268.695652173913","semivar271.304347826087","semivar273.913043478261","semivar276.521739130435","semivar279.130434782609","semivar281.739130434783","semivar284.347826086957","semivar286.95652173913","semivar289.565217391304","semivar292.173913043478","semivar294.782608695652","semivar297.391304347826","semivar300"
"AR-370_NR2_2016-03-11_R_T1",23,"3/11/2016","12:23:39 PM",36.3341,13.942,14.7239,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",100,2.63157894736842,1.321296985,"0.000144000000000011","0.000912039999999933","0.000585640000000021","0.000918090000000027","0.00330625000000011","0.0029702500000001","0.00179776000000006","0","0.00179775999999991","0.000144000000000011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",24,"3/11/2016","12:23:40 PM",36.2496,13.942,14.6664,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",110,2.89473684210526,1.32043622,"0.00330625000000011","0.0048302500000002","0.00769128999999998","0.00667489000000024","0.00073984000000003","0","9.00000000000068e-06","0.00022801000000001","0.00330625000000011","0.00998000999999997","0.0048302500000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",25,"3/11/2016","12:23:41 PM",36.0806,13.942,14.5514,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",120,3.15789473684211,1.21167593,"0.013225","0.0297562500000004","0.0340402500000006","0.04108729","0.0386908900000007","0.0202208400000002","0.013225","0.0139240000000001","0.0169260100000001","0.0297562500000004","0.04618201","0.0340402500000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",26,"3/11/2016","12:23:42 PM",36.2007,13.942,14.6331,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",130,3.42105263157895,1.087320215,"0.00667489000000024","0.00110888999999992","0.00824463999999996","0.01056784","0.0146409999999997","0.013225","0.00366024999999992","0.00110888999999992","0.00131768999999992","0.00234255999999991","0.00824463999999996","0.0177422399999996","0.01056784","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",27,"3/11/2016","12:23:43 PM",36.3029,13.942,14.7027,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",140,3.68421052631579,0.993869454999999,"0.00484415999999992","0.0228916900000003","0.00131769000000005","0.000449440000000014","0.00110224000000005","0.00264195999999992","0.00206116000000007","8.2810000000002e-05","0.00131769000000005","0.00110889000000004","0.000449440000000014","0.000449440000000014","0.0040449599999999","0.00110224000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",28,"3/11/2016","12:23:44 PM",36.3785,13.942,14.7541,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",150,3.94736842105263,0.990967495,"0.00264195999999992","0.0146409999999997","0.04108729","0.00769128999999998","0.000912039999999933","0.000331239999999943","0","3.59999999999814e-05","0.00366024999999992","0.00769128999999998","0.00717408999999996","0.00527075999999994","0.000912039999999933","0.00014884","0.000331239999999943","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",29,"3/11/2016","12:23:45 PM",36.4898,13.942,14.8298,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",160,4.21052631578947,1.10341564,"0.00573049000000018","0.0161544100000001","0.03869089","0.0775065600000007","0.0266995600000004","0.01121481","0.00881720999999993","0.00573049000000018","0.00667488999999994","0.0185504400000001","0.0266995600000004","0.0257281600000003","0.0219928900000002","0.01121481","0.00403225000000016","0.00881720999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",30,"3/11/2016","12:23:46 PM",36.5386,13.942,14.863,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",170,4.47368421052632,1.205630935,"0.00110223999999993","0.01185921","0.0256960899999998","0.0528540099999995","0.0970945600000002","0.03865156","0.0193488099999998","0.0161544099999997","0.01185921","0.0132020099999997","0.0286963599999998","0.03865156","0.03748096","0.0329422499999999","0.0193488099999998","0.00935089000000004","0.0161544099999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",31,"3/11/2016","12:23:47 PM",36.174,13.942,14.6149,25,"AR-370_NR2_2016-03-11_R_T1_final.csv",180,4.73684210526316,1.246948085,"0.0615536099999996","0.04618201","0.0193766399999997","0.00770883999999994","0.000331240000000008","0.00403225000000016","0.0026522499999999","0.011881","0.0146410000000001","0.0193766399999997","0.0177422400000001","0.00619368999999993","0.0026522499999999","0.0029702499999999","0.00443555999999991","0.011881","0.0229219599999997","0.0146410000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR2_2016-03-11_R_T1",38,"3/11/2016","12:23:54 PM",36.2763,13.942,14.6846,NA,"AR-370_NR2_2016-03-11_R_T1_final.csv",190,5,1.269861725,"0.00485808999999989","0.03182656","0.0210830400000003","0.00483024999999995","0.000327610000000016","0.0026522499999999","0.0177422400000001","0.000331240000000008","0.00154449000000006","0.00263169000000013","0.00483024999999995","0.00403225000000016","8.10000000000061e-05","0.000331240000000008","0.000231040000000003","9.60999999999926e-06","0.00154449000000006","0.00667488999999994","0.00263169000000013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
