"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.4390243902439","semivar4.8780487804878","semivar7.31707317073171","semivar9.75609756097561","semivar12.1951219512195","semivar14.6341463414634","semivar17.0731707317073","semivar19.5121951219512","semivar21.9512195121951","semivar24.390243902439","semivar26.8292682926829","semivar29.2682926829268","semivar31.7073170731707","semivar34.1463414634146","semivar36.5853658536585","semivar39.0243902439024","semivar41.4634146341463","semivar43.9024390243902","semivar46.3414634146341","semivar48.780487804878","semivar51.219512195122","semivar53.6585365853659","semivar56.0975609756098","semivar58.5365853658537","semivar60.9756097560976","semivar63.4146341463415","semivar65.8536585365854","semivar68.2926829268293","semivar70.7317073170732","semivar73.1707317073171","semivar75.609756097561","semivar78.0487804878049","semivar80.4878048780488","semivar82.9268292682927","semivar85.3658536585366","semivar87.8048780487805","semivar90.2439024390244","semivar92.6829268292683","semivar95.1219512195122","semivar97.5609756097561","semivar100","semivar102.439024390244","semivar104.878048780488","semivar107.317073170732","semivar109.756097560976","semivar112.19512195122","semivar114.634146341463","semivar117.073170731707","semivar119.512195121951","semivar121.951219512195","semivar124.390243902439","semivar126.829268292683","semivar129.268292682927","semivar131.707317073171","semivar134.146341463415","semivar136.585365853659","semivar139.024390243902","semivar141.463414634146","semivar143.90243902439","semivar146.341463414634","semivar148.780487804878","semivar151.219512195122","semivar153.658536585366","semivar156.09756097561","semivar158.536585365854","semivar160.975609756098","semivar163.414634146341","semivar165.853658536585","semivar168.292682926829","semivar170.731707317073","semivar173.170731707317","semivar175.609756097561","semivar178.048780487805","semivar180.487804878049","semivar182.926829268293","semivar185.365853658537","semivar187.80487804878","semivar190.243902439024","semivar192.682926829268","semivar195.121951219512","semivar197.560975609756","semivar200","semivar202.439024390244","semivar204.878048780488","semivar207.317073170732","semivar209.756097560976","semivar212.19512195122","semivar214.634146341463","semivar217.073170731707","semivar219.512195121951","semivar221.951219512195","semivar224.390243902439","semivar226.829268292683","semivar229.268292682927","semivar231.707317073171","semivar234.146341463415","semivar236.585365853659","semivar239.024390243902","semivar241.463414634146","semivar243.90243902439","semivar246.341463414634","semivar248.780487804878","semivar251.219512195122","semivar253.658536585366","semivar256.09756097561","semivar258.536585365854","semivar260.975609756098","semivar263.414634146341","semivar265.853658536585","semivar268.292682926829","semivar270.731707317073","semivar273.170731707317","semivar275.609756097561","semivar278.048780487805","semivar280.487804878049","semivar282.926829268293","semivar285.365853658537","semivar287.80487804878","semivar290.243902439024","semivar292.682926829268","semivar295.121951219512","semivar297.560975609756","semivar300"
"AR-370_NR1_2015-09-09_R_T3",35,"9/9/2015","10:10:29 AM",35.9617,27.665,14.4705,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",100,2.45901639344262,0.391588785,"3.72099999999999e-05","0.000331240000000008","0.00133225000000001","0.00133225000000001","0.000331240000000008","0.00885480999999985","0.0178489599999999","0.00885480999999985","0.00298115999999988","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",36,"9/9/2015","10:10:30 AM",35.9707,27.665,14.4766,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",110,2.70491803278689,0.401118335,"3.72099999999999e-05","0","0.000146410000000005","0.000924160000000012","0.000924160000000012","0.00059049000000001","0.0100400399999998","0.0195160899999999","0.0100400399999998","0.00368448999999986","0.00014884","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",37,"9/9/2015","10:10:31 AM",35.9752,27.665,14.4797,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",120,2.95081967213115,0.407155799999999,"9.60999999999926e-06","8.46399999999977e-05","9.60999999999926e-06","8.10000000000061e-05","0.000745290000000018","0.000745290000000018","0.000750760000000005","0.0106708899999998","0.0203918399999998","0.0106708899999998","0.00407043999999984","0.000234089999999996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",38,"9/9/2015","10:10:32 AM",35.9617,27.665,14.4705,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",130,3.19672131147541,0.407434794999999,"8.46399999999977e-05","3.72099999999999e-05","0","3.72099999999999e-05","0.000331240000000008","0.00133225000000001","0.00133225000000001","0.000331240000000008","0.00885480999999985","0.0178489599999999","0.00885480999999985","0.00298115999999988","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",39,"9/9/2015","10:10:33 AM",35.9216,27.665,14.4432,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",140,3.44262295081967,0.411466989999999,"0.000745290000000018","0.00133225000000001","0.00111556000000002","0.000745290000000018","0.00111556000000002","0.00207025000000005","0.00407044000000007","0.00407044000000007","8.2810000000002e-05","0.00446223999999985","0.0112996899999998","0.00446223999999985","0.000745289999999921","0.000449440000000014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",40,"9/9/2015","10:10:34 AM",35.935,27.665,14.4523,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",150,3.68852459016393,0.420924059999999,"8.2810000000002e-05","0.000331240000000008","0.000750760000000005","0.00059049000000001","0.000331240000000008","0.00059049000000001","0.00132496000000003","0.00299209000000005","0.00299209000000005","0","0.00576080999999984","0.0133171599999998","0.00576080999999984","0.0013249599999999","0.000146410000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",41,"9/9/2015","10:10:35 AM",35.9752,27.665,14.4797,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",160,3.9344262295082,0.419119614999999,"0.000750760000000005","0.00133225000000001","8.46399999999977e-05","0","9.60999999999926e-06","8.46399999999977e-05","9.60999999999926e-06","8.10000000000061e-05","0.000745290000000018","0.000745290000000018","0.000750760000000005","0.0106708899999998","0.0203918399999998","0.0106708899999998","0.00407043999999984","0.000234089999999996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",42,"9/9/2015","10:10:36 AM",35.9975,27.665,14.4948,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",170,4.18032786885246,0.406335459999999,"0.00022801000000001","0.00180625000000004","0.00266256000000006","0.00059049000000001","0.00022801000000001","0.000331240000000008","0.00059049000000001","0.000331240000000008","3.72099999999999e-05","0.00014884","0.00014884","0.00180625000000004","0.0140185599999999","0.0249324099999999","0.0140185599999999","0.00622520999999986","0.000924160000000012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",43,"9/9/2015","10:10:37 AM",35.9395,27.665,14.4554,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",180,4.42622950819672,0.391416799999999,"0.00155236000000004","0.00059049000000001","9.60999999999926e-06","0.00014884","0.00022801000000001","0.00059049000000001","0.000449440000000014","0.00022801000000001","0.000449440000000014","0.00110889000000004","0.00266256000000006","0.00266256000000006","9.60999999999926e-06","0.00624099999999982","0.0140422499999998","0.00624099999999982","0.00156024999999988","8.10000000000061e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_NR1_2015-09-09_R_T3",44,"9/9/2015","10:10:38 AM",35.8368,27.665,14.3855,NA,"AR-370_NR1_2015-09-09_R_T3_final.csv",190,4.67213114754098,0.381697354999999,"0.00488600999999982","0.0119464899999998","0.0088736399999998","0.00446223999999985","0.00332928999999986","0.00722499999999984","0.0088736399999998","0.00829920999999983","0.00722499999999984","0.00829920999999983","0.0106502399999999","0.0147622499999998","0.0147622499999998","0.00446223999999985","8.2810000000002e-05","0.00236196000000004","8.2810000000002e-05","0.000924160000000012","0.00622520999999986","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
