"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.2967032967033","semivar6.59340659340659","semivar9.89010989010989","semivar13.1868131868132","semivar16.4835164835165","semivar19.7802197802198","semivar23.0769230769231","semivar26.3736263736264","semivar29.6703296703297","semivar32.967032967033","semivar36.2637362637363","semivar39.5604395604396","semivar42.8571428571429","semivar46.1538461538462","semivar49.4505494505495","semivar52.7472527472527","semivar56.043956043956","semivar59.3406593406593","semivar62.6373626373626","semivar65.9340659340659","semivar69.2307692307692","semivar72.5274725274725","semivar75.8241758241758","semivar79.1208791208791","semivar82.4175824175824","semivar85.7142857142857","semivar89.010989010989","semivar92.3076923076923","semivar95.6043956043956","semivar98.9010989010989","semivar102.197802197802","semivar105.494505494505","semivar108.791208791209","semivar112.087912087912","semivar115.384615384615","semivar118.681318681319","semivar121.978021978022","semivar125.274725274725","semivar128.571428571429","semivar131.868131868132","semivar135.164835164835","semivar138.461538461538","semivar141.758241758242","semivar145.054945054945","semivar148.351648351648","semivar151.648351648352","semivar154.945054945055","semivar158.241758241758","semivar161.538461538462","semivar164.835164835165","semivar168.131868131868","semivar171.428571428571","semivar174.725274725275","semivar178.021978021978","semivar181.318681318681","semivar184.615384615385","semivar187.912087912088","semivar191.208791208791","semivar194.505494505495","semivar197.802197802198","semivar201.098901098901","semivar204.395604395604","semivar207.692307692308","semivar210.989010989011","semivar214.285714285714","semivar217.582417582418","semivar220.879120879121","semivar224.175824175824","semivar227.472527472527","semivar230.769230769231","semivar234.065934065934","semivar237.362637362637","semivar240.659340659341","semivar243.956043956044","semivar247.252747252747","semivar250.549450549451","semivar253.846153846154","semivar257.142857142857","semivar260.43956043956","semivar263.736263736264","semivar267.032967032967","semivar270.32967032967","semivar273.626373626374","semivar276.923076923077","semivar280.21978021978","semivar283.516483516484","semivar286.813186813187","semivar290.10989010989","semivar293.406593406593","semivar296.703296703297","semivar300"
"AR-378_RB1_2016-05-10_R_T3",19,"5/10/2016","10:13:20 AM",32.8892,21.091,12.3798,90,"AR-378_RB1_2016-05-10_R_T3_final.csv",0,0,0.583001845,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",20,"5/10/2016","10:13:21 AM",32.9292,21.091,12.407,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",10,0.333333333333333,1.893912995,"0.00073984000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",21,"5/10/2016","10:13:22 AM",32.9694,21.091,12.4343,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",20,0.666666666666667,3.165427355,"0.000745290000000018","0.0029702500000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",22,"5/10/2016","10:13:23 AM",33.0497,21.091,12.489,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",30,1,3.73115333,"0.00299209000000005","0.00672400000000012","0.0119246400000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",23,"5/10/2016","10:13:24 AM",33.0854,21.091,12.5133,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",40,1.33333333333333,3.35655344,"0.000590489999999924","0.00624099999999982","0.0112996899999998","0.0178222499999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",24,"5/10/2016","10:13:25 AM",33.1479,21.091,12.5558,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",50,1.66666666666667,2.324828095,"0.00180625000000004","0.00446223999999985","0.0147622499999998","0.0221414399999999","0.0309760000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",25,"5/10/2016","10:13:26 AM",33.1613,21.091,12.5649,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",60,2,1.259951175,"8.2810000000002e-05","0.00266256000000006","0.00576080999999984","0.0170563599999998","0.0249324099999999","0.0342620100000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",26,"5/10/2016","10:13:27 AM",33.1701,21.091,12.5709,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",70,2.33333333333333,0.774337765,"3.60000000000027e-05","0.00022801000000001","0.00331776000000009","0.00670760999999987","0.0186595599999999","0.02686321","0.0365192100000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",27,"5/10/2016","10:13:28 AM",33.1211,21.091,12.5376,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",80,2.66666666666667,1.086554095,"0.00110889000000004","0.000745290000000018","0.000331240000000008","0.00059049000000001","0.00236195999999987","0.0106708899999998","0.0170563599999998","0.02490084","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",28,"5/10/2016","10:13:29 AM",32.9917,21.091,12.4495,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",90,3,1.95040133,"0.00776160999999982","0.0147379599999999","0.0133171599999998","0.0112996899999998","0.00407043999999984","0.00156025000000002","0.000231040000000003","0.00180625000000004","0.00485809000000014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",29,"5/10/2016","10:13:30 AM",32.9159,21.091,12.3979,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",100,3.33333333333333,2.800651495,"0.00266256000000006","0.0195160899999999","0.029929","0.0278889999999999","0.0249324099999999","0.0133171599999998","0.00829921000000015","0.00132496000000003","8.2810000000002e-05","0.000327610000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",30,"5/10/2016","10:13:31 AM",32.907,21.091,12.3919,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",110,3.66666666666667,3.14313578,"3.60000000000027e-05","0.00331776000000009","0.0212284899999999","0.0320410000000001","0.029929","0.02686321","0.0147379599999999","0.00942841000000021","0.00179776000000006","0.00022801000000001","0.000146410000000005","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",31,"5/10/2016","10:13:32 AM",32.9606,21.091,12.4284,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",120,4,2.80612728,"0.00133225000000001","0.000930249999999998","0.000445210000000024","0.0119246399999999","0.02030625","0.01863225","0.0162307599999999","0.00720800999999988","0.00367236000000011","3.48100000000054e-05","0.000457959999999994","0.00236196000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",32,"5/10/2016","10:13:33 AM",33.0364,21.091,12.4799,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",130,4.33333333333333,2.010268255,"0.00265225000000008","0.00774400000000017","0.00672400000000012","0.000924160000000012","0.00332928999999986","0.00828099999999987","0.00722499999999984","0.00576080999999984","0.0011155599999999","8.2810000000002e-05","0.00207936000000003","0.00531441000000009","0.0100200100000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",33,"5/10/2016","10:13:34 AM",33.1078,21.091,12.5285,NA,"AR-378_RB1_2016-05-10_R_T3_final.csv",140,4.66666666666667,1.29432123,"0.00236195999999987","0.0100200099999999","0.0186595599999999","0.0170563599999998","0.00624099999999982","8.2810000000002e-05","0.00179776000000006","0.00132496000000003","0.000745290000000018","0.000231040000000003","0.00156024999999988","0.0088736399999998","0.0147622499999998","0.02211169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T3",34,"5/10/2016","10:13:35 AM",33.1078,21.091,12.5285,85,"AR-378_RB1_2016-05-10_R_T3_final.csv",150,5,1.085426485,"0","0.00236195999999987","0.0100200099999999","0.0186595599999999","0.0170563599999998","0.00624099999999982","8.2810000000002e-05","0.00179776000000006","0.00132496000000003","0.000745290000000018","0.000231040000000003","0.00156024999999988","0.0088736399999998","0.0147622499999998","0.02211169","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
