"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.80373831775701","semivar5.60747663551402","semivar8.41121495327103","semivar11.214953271028","semivar14.018691588785","semivar16.8224299065421","semivar19.6261682242991","semivar22.4299065420561","semivar25.2336448598131","semivar28.0373831775701","semivar30.8411214953271","semivar33.6448598130841","semivar36.4485981308411","semivar39.2523364485981","semivar42.0560747663551","semivar44.8598130841121","semivar47.6635514018692","semivar50.4672897196262","semivar53.2710280373832","semivar56.0747663551402","semivar58.8785046728972","semivar61.6822429906542","semivar64.4859813084112","semivar67.2897196261682","semivar70.0934579439252","semivar72.8971962616822","semivar75.7009345794392","semivar78.5046728971963","semivar81.3084112149533","semivar84.1121495327103","semivar86.9158878504673","semivar89.7196261682243","semivar92.5233644859813","semivar95.3271028037383","semivar98.1308411214953","semivar100.934579439252","semivar103.738317757009","semivar106.542056074766","semivar109.345794392523","semivar112.14953271028","semivar114.953271028037","semivar117.757009345794","semivar120.560747663551","semivar123.364485981308","semivar126.168224299065","semivar128.971962616822","semivar131.775700934579","semivar134.579439252336","semivar137.383177570093","semivar140.18691588785","semivar142.990654205607","semivar145.794392523364","semivar148.598130841122","semivar151.401869158878","semivar154.205607476636","semivar157.009345794393","semivar159.81308411215","semivar162.616822429907","semivar165.420560747664","semivar168.224299065421","semivar171.028037383178","semivar173.831775700935","semivar176.635514018692","semivar179.439252336449","semivar182.242990654206","semivar185.046728971963","semivar187.85046728972","semivar190.654205607477","semivar193.457943925234","semivar196.261682242991","semivar199.065420560748","semivar201.869158878505","semivar204.672897196262","semivar207.476635514019","semivar210.280373831776","semivar213.084112149533","semivar215.88785046729","semivar218.691588785047","semivar221.495327102804","semivar224.299065420561","semivar227.102803738318","semivar229.906542056075","semivar232.710280373832","semivar235.514018691589","semivar238.317757009346","semivar241.121495327103","semivar243.92523364486","semivar246.728971962617","semivar249.532710280374","semivar252.336448598131","semivar255.140186915888","semivar257.943925233645","semivar260.747663551402","semivar263.551401869159","semivar266.355140186916","semivar269.158878504673","semivar271.96261682243","semivar274.766355140187","semivar277.570093457944","semivar280.373831775701","semivar283.177570093458","semivar285.981308411215","semivar288.785046728972","semivar291.588785046729","semivar294.392523364486","semivar297.196261682243","semivar300"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",16,"3/10/2016","1:07:32 PM",35.5559,13.558,14.1944,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",100,2.83018867924528,0.302344859999998,"3.60000000000027e-05","0.00367235999999989","0.0220225600000002","0.0277555600000002","0.0220225600000002","0.0185776900000001","0.0267322499999997","0.0267322499999997","0.0375584399999998","0.0341140899999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",17,"3/10/2016","1:07:33 PM",35.507,13.558,14.1611,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",110,3.11320754716981,0.303682749999999,"0.00110889000000004","0.00154449000000006","0.000745289999999921","0.01324801","0.0177688900000001","0.01324801","0.010609","0.0169520399999996","0.0169520399999996","0.0257602499999997","0.0229219599999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",18,"3/10/2016","1:07:34 PM",35.4491,13.558,14.1217,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",120,3.39622641509434,0.336161809999999,"0.0015523599999999","0.0052852899999999","0.00619368999999993","0.000146410000000005","0.00573049000000018","0.00881721000000027","0.00573049000000018","0.00404496000000013","0.00824463999999996","0.00824463999999996","0.0146652100000001","0.012544","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",19,"3/10/2016","1:07:35 PM",35.4002,13.558,14.0884,55,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",130,3.67924528301887,0.388447924999999,"0.00110889000000004","0.0052852899999999","0.011236","0.012544","0.00206116000000007","0.00179776000000006","0.00367236000000011","0.00179776000000006","0.000918090000000027","0.00330624999999991","0.00330624999999991","0.00770883999999994","0.00619368999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",9,"3/10/2016","1:07:44 PM",35.4002,13.558,14.0884,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",140,3.9622641509434,0.453068414999999,"0","0.00110889000000004","0.0052852899999999","0.011236","0.012544","0.00206116000000007","0.00179776000000006","0.00367236000000011","0.00179776000000006","0.000918090000000027","0.00330624999999991","0.00330624999999991","0.00770883999999994","0.00619368999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",10,"3/10/2016","1:07:45 PM",35.4581,13.558,14.1278,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",150,4.24528301886792,0.502619034999998,"0.00155236000000004","0.00155236000000004","3.72099999999999e-05","0.00110888999999992","0.00443555999999991","0.00527075999999994","3.60000000000027e-05","0.0066912400000002","0.0100000000000003","0.0066912400000002","0.00485809000000014","0.00938960999999995","0.00938960999999995","0.0161798400000001","0.01394761","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",11,"3/10/2016","1:07:46 PM",35.4491,13.558,14.1217,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",160,4.52830188679245,0.492115639999998,"3.72099999999999e-05","0.00110889000000004","0.00110889000000004","0","0.0015523599999999","0.0052852899999999","0.00619368999999993","0.000146410000000005","0.00573049000000018","0.00881721000000027","0.00573049000000018","0.00404496000000013","0.00824463999999996","0.00824463999999996","0.0146652100000001","0.012544","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",12,"3/10/2016","1:07:47 PM",35.4625,13.558,14.1308,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",170,4.81132075471698,0.447504809999998,"8.2810000000002e-05","9.00000000000068e-06","0.00179776000000006","0.00179776000000006","8.2810000000002e-05","0.000918089999999919","0.0040449599999999","0.00484415999999992","9.00000000000068e-06","0.00719104000000022","0.0106090000000003","0.00719104000000022","0.00528529000000016","0.00998000999999997","0.00998000999999997","0.0169520400000001","0.0146652100000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",13,"3/10/2016","1:07:48 PM",35.4981,13.558,14.155,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",180,5.09433962264151,0.373193759999998,"0.000585639999999936","0.00110888999999992","0.000739839999999934","0.00443555999999991","0.00443555999999991","0.00110888999999992","3.72099999999999e-05","0.00155236000000004","0.00206116000000007","0.000449439999999939","0.011881","0.0161798400000001","0.011881","0.00938960999999995","0.0154008099999996","0.0154008099999996","0.0238393599999997","0.0211120899999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T2",14,"3/10/2016","1:07:49 PM",35.5737,13.558,14.2065,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T2_final.csv",190,5.37735849056604,0.288739484999999,"0.00265225000000008","0.00573048999999991","0.00719103999999992","0.00619368999999993","0.01394761","0.01394761","0.00719103999999992","0.00206116000000007","0.000146410000000005","3.72099999999999e-05","0.0052852899999999","0.0257602500000002","0.0319336900000003","0.0257602500000002","0.0220225600000002","0.0308353599999998","0.0308353599999998","0.0423948099999999","0.0387302399999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
