"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.54237288135593","semivar5.08474576271186","semivar7.6271186440678","semivar10.1694915254237","semivar12.7118644067797","semivar15.2542372881356","semivar17.7966101694915","semivar20.3389830508475","semivar22.8813559322034","semivar25.4237288135593","semivar27.9661016949153","semivar30.5084745762712","semivar33.0508474576271","semivar35.5932203389831","semivar38.135593220339","semivar40.6779661016949","semivar43.2203389830508","semivar45.7627118644068","semivar48.3050847457627","semivar50.8474576271186","semivar53.3898305084746","semivar55.9322033898305","semivar58.4745762711864","semivar61.0169491525424","semivar63.5593220338983","semivar66.1016949152542","semivar68.6440677966102","semivar71.1864406779661","semivar73.728813559322","semivar76.271186440678","semivar78.8135593220339","semivar81.3559322033898","semivar83.8983050847458","semivar86.4406779661017","semivar88.9830508474576","semivar91.5254237288136","semivar94.0677966101695","semivar96.6101694915254","semivar99.1525423728814","semivar101.694915254237","semivar104.237288135593","semivar106.779661016949","semivar109.322033898305","semivar111.864406779661","semivar114.406779661017","semivar116.949152542373","semivar119.491525423729","semivar122.033898305085","semivar124.576271186441","semivar127.118644067797","semivar129.661016949153","semivar132.203389830508","semivar134.745762711864","semivar137.28813559322","semivar139.830508474576","semivar142.372881355932","semivar144.915254237288","semivar147.457627118644","semivar150","semivar152.542372881356","semivar155.084745762712","semivar157.627118644068","semivar160.169491525424","semivar162.71186440678","semivar165.254237288136","semivar167.796610169492","semivar170.338983050847","semivar172.881355932203","semivar175.423728813559","semivar177.966101694915","semivar180.508474576271","semivar183.050847457627","semivar185.593220338983","semivar188.135593220339","semivar190.677966101695","semivar193.220338983051","semivar195.762711864407","semivar198.305084745763","semivar200.847457627119","semivar203.389830508475","semivar205.932203389831","semivar208.474576271186","semivar211.016949152542","semivar213.559322033898","semivar216.101694915254","semivar218.64406779661","semivar221.186440677966","semivar223.728813559322","semivar226.271186440678","semivar228.813559322034","semivar231.35593220339","semivar233.898305084746","semivar236.440677966102","semivar238.983050847458","semivar241.525423728814","semivar244.067796610169","semivar246.610169491525","semivar249.152542372881","semivar251.694915254237","semivar254.237288135593","semivar256.779661016949","semivar259.322033898305","semivar261.864406779661","semivar264.406779661017","semivar266.949152542373","semivar269.491525423729","semivar272.033898305085","semivar274.576271186441","semivar277.118644067797","semivar279.661016949153","semivar282.203389830508","semivar284.745762711864","semivar287.28813559322","semivar289.830508474576","semivar292.372881355932","semivar294.915254237288","semivar297.457627118644","semivar300"
"AR-364_TUGBOAT_2016-03-09_R_T2",16,"3/9/2016","12:56:00 PM",32.8872,12.883,12.3784,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",100,2.56410256410256,0.860643895000001,"0.00972196000000022","0.0208513600000003","0.0416568100000002","0.0833476900000002","0.0624500100000001","0.09388096","0.0754051600000007","0.0813390400000008","0.0573123600000008","0.00839056000000027","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",17,"3/9/2016","12:56:01 PM",32.763,12.883,12.2939,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",110,2.82051282051282,0.785183400000001,"0.00714024999999974","0.0335256099999999","0.0523952099999997","0.0832899599999993","0.139278239999999","0.111823359999999","0.152802809999999","0.12895281","0.13667809","0.10491121","0.03101121","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",18,"3/9/2016","12:56:02 PM",32.8613,12.883,12.3608,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",120,3.07692307692308,0.841229765000001,"0.00447560999999982","0.000309759999999994","0.0135024400000002","0.0262440000000003","0.0491508900000001","0.0938196900000001","0.07155625","0.104976","0.0853808400000007","0.0916878400000008","0.0660490000000007","0.0119246400000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",19,"3/9/2016","12:56:03 PM",33.239,12.883,12.6178,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",130,3.33333333333333,0.913136775,"0.0660490000000007","0.10491121","0.0573123600000008","0.0198246400000001","0.00902500000000012","0.00124609000000009","0.00243048999999988","0.000110249999999971","0.00448899999999978","0.00123903999999998","0.00209763999999999","0","0.02184484","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",20,"3/9/2016","12:56:04 PM",33.2753,12.883,12.6425,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",140,3.58974358974359,0.961523415,"0.000610089999999964","0.0793548900000004","0.12152196","0.0697488100000005","0.0273902499999999","0.01432809","0.00360000000000006","0.000605159999999976","0.000201640000000019","0.00178928999999993","0.000110250000000008","0.000445210000000024","0.000610089999999964","0.0297562499999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",21,"3/9/2016","12:56:05 PM",33.1511,12.883,12.558,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",150,3.84615384615385,0.98909481,"0.00714025000000004","0.00357604000000012","0.0388878400000002","0.0697488099999995","0.0322561600000002","0.00656099999999992","0.00123903999999998","0.000600249999999988","0.0119028099999999","0.00494208999999994","0.0160782399999998","0.00902500000000012","0.0111513600000002","0.00357604000000012","0.00774399999999986","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",22,"3/9/2016","12:56:06 PM",33.1096,12.883,12.5297,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",160,4.1025641025641,0.9546408,"0.000800889999999987","0.01272384","0.00776161000000013","0.0285272100000002","0.0556016399999997","0.0228916900000003","0.00277728999999997","4.76099999999987e-05","0.00278783999999995","0.0188787599999999","0.00972195999999987","0.0240560099999997","0.0152028900000001","0.0179292100000002","0.00776161000000013","0.00356408999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",23,"3/9/2016","12:56:07 PM",33.1046,12.883,12.5263,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",170,4.35897435897436,0.893189104999999,"1.15599999999944e-05","0.00100488999999993","0.0135024399999998","0.00837224999999998","0.0273902500000005","0.0540097600000001","0.0218744100000005","0.00243049000000006","1.22500000000051e-05","0.00315843999999985","0.0198246399999996","0.0104039999999997","0.0251222499999995","0.0160528899999999","0.0188512899999999","0.00837224999999998","0.00316969000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",24,"3/9/2016","12:56:08 PM",33.1925,12.883,12.5862,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",180,4.61538461538461,0.874795579999998,"0.00358800999999987","0.00319224999999997","0.00079524","0.00316969000000003","0.000998560000000061","0.0508051600000002","0.0854392899999995","0.0431808400000003","0.0119246399999999","0.00401955999999996","1.36900000000019e-05","0.00654480999999996","0.00177240999999996","0.00972195999999987","0.00446224000000009","0.00599076000000012","0.000998560000000061","0.0135024399999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-364_TUGBOAT_2016-03-09_R_T2",25,"3/9/2016","12:56:09 PM",33.2287,12.883,12.6108,NA,"AR-364_TUGBOAT_2016-03-09_R_T2_final.csv",190,4.87179487179487,0.932065019999998,"0.000605159999999976","0.00714024999999974","0.00657720999999988","0.00278783999999995","0.00100489000000005","4.90000000000203e-05","0.0625","0.100425609999999","0.0540097600000001","0.0179024399999997","0.00774399999999986","0.000800889999999987","0.00316969000000003","0.000306250000000002","0.00547599999999998","0.0017808400000001","0.00278784000000014","4.90000000000203e-05","0.0198246399999996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
