"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.63157894736842","semivar5.26315789473684","semivar7.89473684210526","semivar10.5263157894737","semivar13.1578947368421","semivar15.7894736842105","semivar18.4210526315789","semivar21.0526315789474","semivar23.6842105263158","semivar26.3157894736842","semivar28.9473684210526","semivar31.5789473684211","semivar34.2105263157895","semivar36.8421052631579","semivar39.4736842105263","semivar42.1052631578947","semivar44.7368421052632","semivar47.3684210526316","semivar50","semivar52.6315789473684","semivar55.2631578947368","semivar57.8947368421053","semivar60.5263157894737","semivar63.1578947368421","semivar65.7894736842105","semivar68.4210526315789","semivar71.0526315789474","semivar73.6842105263158","semivar76.3157894736842","semivar78.9473684210526","semivar81.5789473684211","semivar84.2105263157895","semivar86.8421052631579","semivar89.4736842105263","semivar92.1052631578947","semivar94.7368421052632","semivar97.3684210526316","semivar100","semivar102.631578947368","semivar105.263157894737","semivar107.894736842105","semivar110.526315789474","semivar113.157894736842","semivar115.789473684211","semivar118.421052631579","semivar121.052631578947","semivar123.684210526316","semivar126.315789473684","semivar128.947368421053","semivar131.578947368421","semivar134.210526315789","semivar136.842105263158","semivar139.473684210526","semivar142.105263157895","semivar144.736842105263","semivar147.368421052632","semivar150","semivar152.631578947368","semivar155.263157894737","semivar157.894736842105","semivar160.526315789474","semivar163.157894736842","semivar165.789473684211","semivar168.421052631579","semivar171.052631578947","semivar173.684210526316","semivar176.315789473684","semivar178.947368421053","semivar181.578947368421","semivar184.210526315789","semivar186.842105263158","semivar189.473684210526","semivar192.105263157895","semivar194.736842105263","semivar197.368421052632","semivar200","semivar202.631578947368","semivar205.263157894737","semivar207.894736842105","semivar210.526315789474","semivar213.157894736842","semivar215.789473684211","semivar218.421052631579","semivar221.052631578947","semivar223.684210526316","semivar226.315789473684","semivar228.947368421053","semivar231.578947368421","semivar234.210526315789","semivar236.842105263158","semivar239.473684210526","semivar242.105263157895","semivar244.736842105263","semivar247.368421052632","semivar250","semivar252.631578947368","semivar255.263157894737","semivar257.894736842105","semivar260.526315789474","semivar263.157894736842","semivar265.789473684211","semivar268.421052631579","semivar271.052631578947","semivar273.684210526316","semivar276.315789473684","semivar278.947368421053","semivar281.578947368421","semivar284.210526315789","semivar286.842105263158","semivar289.473684210526","semivar292.105263157895","semivar294.736842105263","semivar297.368421052632","semivar300"
"AR-345_TITAN_2015-10-15_R_T3",29,"10/15/2015","9:11:31 AM",42.881,23.966,19.1788,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",100,2.65486725663717,0.135551210000004,"3.60000000000027e-05","0.00091204000000004","0.00178929000000008","0.00131769000000005","0","0.000146410000000005","3.60000000000027e-05","0.00525625000000023","0.00206116000000007","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",30,"10/15/2015","9:11:32 AM",42.8498,23.966,19.1576,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",110,2.92035398230089,0.138367440000004,"0.000449440000000014","0.00073984000000003","0.0026419600000001","0.00403225000000016","0.00330625000000011","0.000449440000000014","0.00110889000000004","0.00073984000000003","0.00877969000000036","0.00443556000000015","0.00022801000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",31,"10/15/2015","9:11:33 AM",42.8498,23.966,19.1576,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",120,3.1858407079646,0.129228340000004,"0","0.000449440000000014","0.00073984000000003","0.0026419600000001","0.00403225000000016","0.00330625000000011","0.000449440000000014","0.00110889000000004","0.00073984000000003","0.00877969000000036","0.00443556000000015","0.00022801000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",32,"10/15/2015","9:11:34 AM",42.8676,23.966,19.1697,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",130,3.45132743362832,0.130113895000003,"0.000146410000000005","0.000146410000000005","8.2810000000002e-05","0.00022801000000001","0.00154449000000006","0.0026419600000001","0.00206116000000007","8.2810000000002e-05","0.000449440000000014","0.00022801000000001","0.00665856000000027","0.0029702500000001","9.00000000000068e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",33,"10/15/2015","9:11:35 AM",42.881,23.966,19.1788,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",140,3.71681415929204,0.130877790000004,"8.2810000000002e-05","0.000449440000000014","0.000449440000000014","0","3.60000000000027e-05","0.00091204000000004","0.00178929000000008","0.00131769000000005","0","0.000146410000000005","3.60000000000027e-05","0.00525625000000023","0.00206116000000007","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",34,"10/15/2015","9:11:36 AM",42.961,23.966,19.2332,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",150,3.98230088495575,0.127564490000004,"0.00295936000000012","0.00403225000000016","0.00571536000000022","0.00571536000000022","0.00295936000000012","0.00234256000000009","0.000585640000000021","0.000146410000000005","0.000327610000000016","0.00295936000000012","0.00178929000000008","0.00234256000000009","0.000327610000000016","8.10000000000061e-05","0.00366025000000013","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",35,"10/15/2015","9:11:37 AM",42.9344,23.966,19.2151,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",160,4.24778761061947,0.138516185000004,"0.000327610000000016","0.00131769000000005","0.00206116000000007","0.00330625000000011","0.00330625000000011","0.00131769000000005","0.000918090000000027","3.72099999999999e-05","3.60000000000027e-05","0","0.00131769000000005","0.000585640000000021","0.000918090000000027","0.00131044000000007","8.2810000000002e-05","0.00179776000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",36,"10/15/2015","9:11:38 AM",42.9032,23.966,19.1939,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",170,4.51327433628319,0.154942925000005,"0.000449440000000014","0.00154449000000006","0.00022801000000001","0.000585640000000021","0.00131769000000005","0.00131769000000005","0.00022801000000001","8.2810000000002e-05","0.00022801000000001","0.00073984000000003","0.000449440000000014","0.00022801000000001","9.00000000000068e-06","8.2810000000002e-05","0.00329476000000014","0.000918090000000027","0.000449440000000014","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",37,"10/15/2015","9:11:39 AM",42.8721,23.966,19.1727,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",180,4.7787610619469,0.147895635000004,"0.000449440000000014","0.00179776000000006","0.00366025000000013","3.72099999999999e-05","9.00000000000068e-06","0.00022801000000001","0.00022801000000001","3.72099999999999e-05","0.000146410000000005","0.00131769000000005","0.00234256000000009","0.00179776000000006","3.72099999999999e-05","0.000331240000000008","0.000146410000000005","0.00617796000000025","0.00265225000000008","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_TITAN_2015-10-15_R_T3",38,"10/15/2015","9:11:40 AM",42.881,23.966,19.1788,NA,"AR-345_TITAN_2015-10-15_R_T3_final.csv",190,5.04424778761062,0.121198480000003,"3.72099999999999e-05","0.00022801000000001","0.00131769000000005","0.00295936000000012","0","8.2810000000002e-05","0.000449440000000014","0.000449440000000014","0","3.60000000000027e-05","0.00091204000000004","0.00178929000000008","0.00131769000000005","0","0.000146410000000005","3.60000000000027e-05","0.00525625000000023","0.00206116000000007","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
