"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.6144578313253","semivar7.2289156626506","semivar10.8433734939759","semivar14.4578313253012","semivar18.0722891566265","semivar21.6867469879518","semivar25.3012048192771","semivar28.9156626506024","semivar32.5301204819277","semivar36.144578313253","semivar39.7590361445783","semivar43.3734939759036","semivar46.9879518072289","semivar50.6024096385542","semivar54.2168674698795","semivar57.8313253012048","semivar61.4457831325301","semivar65.0602409638554","semivar68.6746987951807","semivar72.289156626506","semivar75.9036144578313","semivar79.5180722891566","semivar83.1325301204819","semivar86.7469879518072","semivar90.3614457831325","semivar93.9759036144578","semivar97.5903614457831","semivar101.204819277108","semivar104.819277108434","semivar108.433734939759","semivar112.048192771084","semivar115.66265060241","semivar119.277108433735","semivar122.89156626506","semivar126.506024096386","semivar130.120481927711","semivar133.734939759036","semivar137.349397590361","semivar140.963855421687","semivar144.578313253012","semivar148.192771084337","semivar151.807228915663","semivar155.421686746988","semivar159.036144578313","semivar162.650602409639","semivar166.265060240964","semivar169.879518072289","semivar173.493975903614","semivar177.10843373494","semivar180.722891566265","semivar184.33734939759","semivar187.951807228916","semivar191.566265060241","semivar195.180722891566","semivar198.795180722892","semivar202.409638554217","semivar206.024096385542","semivar209.638554216867","semivar213.253012048193","semivar216.867469879518","semivar220.481927710843","semivar224.096385542169","semivar227.710843373494","semivar231.325301204819","semivar234.939759036145","semivar238.55421686747","semivar242.168674698795","semivar245.78313253012","semivar249.397590361446","semivar253.012048192771","semivar256.626506024096","semivar260.240963855422","semivar263.855421686747","semivar267.469879518072","semivar271.084337349398","semivar274.698795180723","semivar278.313253012048","semivar281.927710843374","semivar285.542168674699","semivar289.156626506024","semivar292.771084337349","semivar296.385542168675","semivar300"
"AR-378_RB1_2016-05-10_R_T1",16,"5/10/2016","10:17:17 AM",33.4289,21.091,12.747,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",100,3.65853658536585,1.208052405,"0.0140185599999999","0.0921122499999998","0.196337609999999","0.196337609999999","0.10349089","0.0230432399999999","0.000231040000000003","0.00059049000000001","0.00059049000000001","0.0203632899999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",17,"5/10/2016","10:17:18 AM",33.4244,21.091,12.744,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",110,4.02439024390244,1.09699704,"9.00000000000068e-06","0.0147379599999999","0.0939422499999999","0.19900521","0.19900521","0.10543009","0.0239630399999999","0.000331240000000008","0.000453690000000004","0.000745290000000018","0.0212284899999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",18,"5/10/2016","10:17:19 AM",33.5939,21.091,12.8593,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",120,4.39024390243902,1.0077527,"0.0132940899999999","0.0126112899999999","3.72099999999999e-05","0.0365574400000001","0.10942864","0.10942864","0.0438483600000002","0.00156025000000002","0.00942840999999986","0.0186595599999999","0.00774399999999986","0.000924160000000012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",19,"5/10/2016","10:17:20 AM",33.7768,21.091,12.9837,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",130,4.75609756097561,0.823489445,"0.0154753600000003","0.0574560900000004","0.0560268900000004","0.0139948900000003","0.00446223999999985","0.0426009599999994","0.0426009599999994","0.00722499999999984","0.00720801000000018","0.0490622500000003","0.0681210000000005","0.0451137600000003","0.00883600000000022","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",20,"5/10/2016","10:17:21 AM",33.9686,21.091,13.1143,25,"AR-378_RB1_2016-05-10_R_T1_final.csv",140,5.1219512195122,0.74721532,"0.0170563599999998","0.0650250000000004","0.13712209","0.13490929","0.0619512100000004","0.00407044000000007","0.00574563999999988","0.00574563999999988","0.00207936000000003","0.0464402500000002","0.12397441","0.15335056","0.117649","0.0504451600000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",25,"5/10/2016","10:17:26 AM",33.5181,21.091,12.8077,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",150,5.48780487804878,0.809427035000001,"0.0940035599999997","0.0309760000000001","0.00266255999999987","0.0040576900000001","0.00368449000000008","0.00332928999999986","0.0589518399999995","0.146229759999999","0.146229759999999","0.0681209999999996","0.00829920999999983","0.00207025000000005","0.00722500000000015","0.00132496000000003","0.00672399999999983","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",26,"5/10/2016","10:17:27 AM",33.4914,21.091,12.7895,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",160,5.85365853658537,0.920568380000001,"0.000331240000000008","0.10549504","0.0377136400000001","0.00487203999999986","0.00207025000000005","0.00180625000000004","0.00576080999999984","0.0681209999999996","0.160480359999999","0.160480359999999","0.0779526399999997","0.0119464899999998","0.000745290000000018","0.00446224000000009","0.000331240000000008","0.0100400399999998","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",27,"5/10/2016","10:17:28 AM",33.5181,21.091,12.8077,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",170,6.21951219512195,1.06188877,"0.000331240000000008","0","0.0940035599999997","0.0309760000000001","0.00266255999999987","0.0040576900000001","0.00368449000000008","0.00332928999999986","0.0589518399999995","0.146229759999999","0.146229759999999","0.0681209999999996","0.00829920999999983","0.00207025000000005","0.00722500000000015","0.00132496000000003","0.00672399999999983","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",28,"5/10/2016","10:17:29 AM",33.6296,21.091,12.8836,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",180,6.58536585365854,1.14491016,"0.00576080999999984","0.00885480999999985","0.00576080999999984","0.0532224900000003","0.0100200100000002","0.00059049000000001","0.0194881599999999","0.0186595599999999","0.000331240000000008","0.02785561","0.0939422499999999","0.0939422499999999","0.0342620100000001","0.000231040000000003","0.0147379599999999","0.0258888099999999","0.0126112899999999","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-378_RB1_2016-05-10_R_T1",29,"5/10/2016","10:17:30 AM",33.759,21.091,12.9716,NA,"AR-378_RB1_2016-05-10_R_T1_final.csv",190,6.95121951219512,1.12248535,"0.00774400000000017","0.02686321","0.0331604100000001","0.02686321","0.0203632899999999","0.000146410000000005","0.0126112900000003","0.0518017600000003","0.0504451600000003","0.0112784400000003","0.00622520999999986","0.0477422499999995","0.0477422499999995","0.00942840999999986","0.00529984000000013","0.0438483600000002","0.0619512100000004","0.0401200900000001","0.00670761000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
