"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.4","semivar4.8","semivar7.2","semivar9.6","semivar12","semivar14.4","semivar16.8","semivar19.2","semivar21.6","semivar24","semivar26.4","semivar28.8","semivar31.2","semivar33.6","semivar36","semivar38.4","semivar40.8","semivar43.2","semivar45.6","semivar48","semivar50.4","semivar52.8","semivar55.2","semivar57.6","semivar60","semivar62.4","semivar64.8","semivar67.2","semivar69.6","semivar72","semivar74.4","semivar76.8","semivar79.2","semivar81.6","semivar84","semivar86.4","semivar88.8","semivar91.2","semivar93.6","semivar96","semivar98.4","semivar100.8","semivar103.2","semivar105.6","semivar108","semivar110.4","semivar112.8","semivar115.2","semivar117.6","semivar120","semivar122.4","semivar124.8","semivar127.2","semivar129.6","semivar132","semivar134.4","semivar136.8","semivar139.2","semivar141.6","semivar144","semivar146.4","semivar148.8","semivar151.2","semivar153.6","semivar156","semivar158.4","semivar160.8","semivar163.2","semivar165.6","semivar168","semivar170.4","semivar172.8","semivar175.2","semivar177.6","semivar180","semivar182.4","semivar184.8","semivar187.2","semivar189.6","semivar192","semivar194.4","semivar196.8","semivar199.2","semivar201.6","semivar204","semivar206.4","semivar208.8","semivar211.2","semivar213.6","semivar216","semivar218.4","semivar220.8","semivar223.2","semivar225.6","semivar228","semivar230.4","semivar232.8","semivar235.2","semivar237.6","semivar240","semivar242.4","semivar244.8","semivar247.2","semivar249.6","semivar252","semivar254.4","semivar256.8","semivar259.2","semivar261.6","semivar264","semivar266.4","semivar268.8","semivar271.2","semivar273.6","semivar276","semivar278.4","semivar280.8","semivar283.2","semivar285.6","semivar288","semivar290.4","semivar292.8","semivar295.2","semivar297.6","semivar300"
"AR-372_NR2_2015-12-09_R_T1",24,"12/9/2015","1:21:11 PM",40.5878,17.094,17.6184,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",100,2.41935483870968,0.679761400000002,"0.000585640000000021","8.10000000000061e-05","0.00178929000000008","0.0201924100000008","0.0219336099999998","0.00935089000000039","0.00329476000000014","0.00022801000000001","0.00822648999999968","0.00527075999999968","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",25,"12/9/2015","1:21:12 PM",40.108,17.094,17.2919,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",110,2.66129032258065,0.558944275,"0.106602250000002","0.0913852900000015","0.100806250000002","0.0807696400000011","0.03400336","0.0318265600000012","0.0528080400000004","0.0724148100000009","0.116690560000002","0.174055840000001","0.159280810000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",26,"12/9/2015","1:21:13 PM",40.1435,17.094,17.316,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",120,2.90322580645161,0.49578712,"0.000580810000000033","0.0914457600000013","0.077395240000001","0.0860835600000011","0.0676520100000007","0.0256960899999998","0.0238084900000009","0.0423124900000001","0.0600250000000005","0.100806250000002","0.15452761","0.140625","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",27,"12/9/2015","1:21:14 PM",40.2369,17.094,17.3796,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",130,3.14516129032258,0.51877993,"0.00404496000000013","0.00769129000000029","0.0570254400000006","0.0460531600000003","0.0528080400000004","0.0386122500000001","0.0093508899999997","0.00822649000000032","0.0201924099999998","0.03290596","0.0644652100000008","0.10857025","0.0969699599999994","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",28,"12/9/2015","1:21:15 PM",40.3836,17.094,17.4794,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",140,3.38709677419355,0.603372735000001,"0.00996003999999967","0.0266995599999998","0.03515625","0.0193210000000008","0.0131790400000006","0.0169000000000007","0.00935089000000039","9.60999999999926e-06","8.28099999999373e-05","0.00178929000000008","0.00665856000000027","0.023746810000001","0.0527620900000005","0.0447745600000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",29,"12/9/2015","1:21:16 PM",40.5923,17.094,17.6214,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",150,3.62903225806452,0.723214635000001,"0.0201640000000009","0.0584672400000006","0.0932691600000014","0.108570250000002","9.00000000000068e-06","0.00073984000000003","0.000144000000000011","0.00205209000000009","0.0210540100000008","0.0228312099999999","0.00994009000000042","0.00364816000000016","0.000146410000000005","0.00769128999999967","0.00484415999999967","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",30,"12/9/2015","1:21:17 PM",40.7211,17.094,17.7091,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",160,3.87096774193548,0.81207782,"0.00769128999999967","0.0527620900000005","0.10857025","0.15452761","0.174055840000001","0.00822648999999968","0.0132020099999997","0.00994008999999971","0.0176889999999998","0.0541958400000005","0.0570254399999989","0.0351187600000001","0.0219336099999998","0.00571535999999968","0","0.000327610000000016","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",31,"12/9/2015","1:21:18 PM",40.69,17.094,17.6879,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",170,4.11290322580645,0.85852815,"0.000449440000000014","0.00442224999999971","0.0434722500000003","0.0950488899999995","0.13830961","0.156816000000001","0.00483024999999971","0.00877968999999969","0.00616224999999972","0.0124992399999997","0.0447745600000003","0.0473497599999988","0.02762244","0.0161036099999998","0.00295935999999973","0.000449440000000014","9.60999999999926e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",32,"12/9/2015","1:21:19 PM",40.6722,17.094,17.6758,25,"AR-372_NR2_2015-12-09_R_T1_final.csv",180,4.35483870967742,0.833166550000001,"0.000146410000000005","0.00110889000000004","0.00295935999999973","0.0385729600000002","0.0877344399999994","0.12945604","0.14737921","0.00329475999999973","0.00665855999999969","0.00440895999999974","0.00994008999999971","0.0398002500000002","0.0422302499999988","0.0237468099999999","0.0131790399999997","0.00178928999999977","0.00110889000000004","0.000231040000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-372_NR2_2015-12-09_R_T1",39,"12/9/2015","1:21:26 PM",40.6945,17.094,17.691,NA,"AR-372_NR2_2015-12-09_R_T1_final.csv",190,4.59677419354839,0.749340495000001,"0.000231040000000003","9.60999999999926e-06","0.000327610000000016","0.00484415999999967","0.0447745600000003","0.0969699599999994","0.140625","0.159280810000001","0.00527075999999968","0.00937023999999965","0.00665855999999969","0.0132020099999997","0.0460960900000002","0.0487084899999988","0.0286624899999999","0.0168999999999997","0.00330624999999971","0.000327610000000016","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
