"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.09278350515464","semivar6.18556701030928","semivar9.27835051546392","semivar12.3711340206186","semivar15.4639175257732","semivar18.5567010309278","semivar21.6494845360825","semivar24.7422680412371","semivar27.8350515463918","semivar30.9278350515464","semivar34.020618556701","semivar37.1134020618557","semivar40.2061855670103","semivar43.298969072165","semivar46.3917525773196","semivar49.4845360824742","semivar52.5773195876289","semivar55.6701030927835","semivar58.7628865979381","semivar61.8556701030928","semivar64.9484536082474","semivar68.0412371134021","semivar71.1340206185567","semivar74.2268041237113","semivar77.319587628866","semivar80.4123711340206","semivar83.5051546391753","semivar86.5979381443299","semivar89.6907216494845","semivar92.7835051546392","semivar95.8762886597938","semivar98.9690721649485","semivar102.061855670103","semivar105.154639175258","semivar108.247422680412","semivar111.340206185567","semivar114.432989690722","semivar117.525773195876","semivar120.618556701031","semivar123.711340206186","semivar126.80412371134","semivar129.896907216495","semivar132.989690721649","semivar136.082474226804","semivar139.175257731959","semivar142.268041237113","semivar145.360824742268","semivar148.453608247423","semivar151.546391752577","semivar154.639175257732","semivar157.731958762887","semivar160.824742268041","semivar163.917525773196","semivar167.010309278351","semivar170.103092783505","semivar173.19587628866","semivar176.288659793814","semivar179.381443298969","semivar182.474226804124","semivar185.567010309278","semivar188.659793814433","semivar191.752577319588","semivar194.845360824742","semivar197.938144329897","semivar201.030927835052","semivar204.123711340206","semivar207.216494845361","semivar210.309278350515","semivar213.40206185567","semivar216.494845360825","semivar219.587628865979","semivar222.680412371134","semivar225.773195876289","semivar228.865979381443","semivar231.958762886598","semivar235.051546391753","semivar238.144329896907","semivar241.237113402062","semivar244.329896907216","semivar247.422680412371","semivar250.515463917526","semivar253.60824742268","semivar256.701030927835","semivar259.79381443299","semivar262.886597938144","semivar265.979381443299","semivar269.072164948454","semivar272.164948453608","semivar275.257731958763","semivar278.350515463918","semivar281.443298969072","semivar284.536082474227","semivar287.628865979381","semivar290.721649484536","semivar293.814432989691","semivar296.907216494845","semivar300"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",4,"3/10/2016","1:09:35 PM",35.6938,13.558,14.2882,30,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",0,0,0.21215838,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",5,"3/10/2016","1:09:36 PM",35.7695,13.558,14.3397,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",10,0.3125,0.497375545,"0.00265225000000008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",6,"3/10/2016","1:09:37 PM",35.7695,13.558,14.3397,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",20,0.625,0.643116355,"0","0.00265225000000008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",7,"3/10/2016","1:09:38 PM",35.9341,13.558,14.4517,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",30,0.9375,0.644480125000001,"0.012544","0.012544","0.0267322500000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",8,"3/10/2016","1:09:39 PM",35.8005,13.558,14.3608,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",40,1.25,0.588850985000001,"0.00826281000000024","0.000445209999999949","0.000445209999999949","0.00527075999999994","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",9,"3/10/2016","1:09:40 PM",35.5915,13.558,14.2186,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",50,1.5625,0.494235465000001,"0.0202208399999997","0.0543356100000001","0.0146652100000001","0.0146652100000001","0.00484415999999992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",10,"3/10/2016","1:09:41 PM",35.4936,13.558,14.152,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",60,1.875,0.450276105,"0.00443556000000015","0.04359744","0.0898200900000009","0.0352312900000005","0.0352312900000005","0.0185504400000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",11,"3/10/2016","1:09:42 PM",35.5692,13.558,14.2034,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",70,2.1875,0.45588492,"0.0026419600000001","0.000231040000000003","0.0247747599999997","0.0616528900000002","0.0185776900000001","0.0185776900000001","0.00719103999999992","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",12,"3/10/2016","1:09:43 PM",35.7028,13.558,14.2943,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",80,2.5,0.458046805,"0.00826280999999992","0.0202492900000002","0.00573048999999991","0.00442224999999994","0.0247747600000003","0.00206116000000007","0.00206116000000007","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2016-03-10_R_T1",13,"3/10/2016","1:09:44 PM",35.6671,13.558,14.27,NA,"AR-370_LIBERTYSHIP_2016-03-10_R_T1_final.csv",90,2.8125,0.408996944999999,"0.00059049000000001","0.00443555999999991","0.0139240000000001","0.00264195999999992","0.00824463999999996","0.0330148900000004","0.00485809000000014","0.00485809000000014","0.000331240000000008","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
