"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.4390243902439","semivar4.8780487804878","semivar7.31707317073171","semivar9.75609756097561","semivar12.1951219512195","semivar14.6341463414634","semivar17.0731707317073","semivar19.5121951219512","semivar21.9512195121951","semivar24.390243902439","semivar26.8292682926829","semivar29.2682926829268","semivar31.7073170731707","semivar34.1463414634146","semivar36.5853658536585","semivar39.0243902439024","semivar41.4634146341463","semivar43.9024390243902","semivar46.3414634146341","semivar48.780487804878","semivar51.219512195122","semivar53.6585365853659","semivar56.0975609756098","semivar58.5365853658537","semivar60.9756097560976","semivar63.4146341463415","semivar65.8536585365854","semivar68.2926829268293","semivar70.7317073170732","semivar73.1707317073171","semivar75.609756097561","semivar78.0487804878049","semivar80.4878048780488","semivar82.9268292682927","semivar85.3658536585366","semivar87.8048780487805","semivar90.2439024390244","semivar92.6829268292683","semivar95.1219512195122","semivar97.5609756097561","semivar100","semivar102.439024390244","semivar104.878048780488","semivar107.317073170732","semivar109.756097560976","semivar112.19512195122","semivar114.634146341463","semivar117.073170731707","semivar119.512195121951","semivar121.951219512195","semivar124.390243902439","semivar126.829268292683","semivar129.268292682927","semivar131.707317073171","semivar134.146341463415","semivar136.585365853659","semivar139.024390243902","semivar141.463414634146","semivar143.90243902439","semivar146.341463414634","semivar148.780487804878","semivar151.219512195122","semivar153.658536585366","semivar156.09756097561","semivar158.536585365854","semivar160.975609756098","semivar163.414634146341","semivar165.853658536585","semivar168.292682926829","semivar170.731707317073","semivar173.170731707317","semivar175.609756097561","semivar178.048780487805","semivar180.487804878049","semivar182.926829268293","semivar185.365853658537","semivar187.80487804878","semivar190.243902439024","semivar192.682926829268","semivar195.121951219512","semivar197.560975609756","semivar200","semivar202.439024390244","semivar204.878048780488","semivar207.317073170732","semivar209.756097560976","semivar212.19512195122","semivar214.634146341463","semivar217.073170731707","semivar219.512195121951","semivar221.951219512195","semivar224.390243902439","semivar226.829268292683","semivar229.268292682927","semivar231.707317073171","semivar234.146341463415","semivar236.585365853659","semivar239.024390243902","semivar241.463414634146","semivar243.90243902439","semivar246.341463414634","semivar248.780487804878","semivar251.219512195122","semivar253.658536585366","semivar256.09756097561","semivar258.536585365854","semivar260.975609756098","semivar263.414634146341","semivar265.853658536585","semivar268.292682926829","semivar270.731707317073","semivar273.170731707317","semivar275.609756097561","semivar278.048780487805","semivar280.487804878049","semivar282.926829268293","semivar285.365853658537","semivar287.80487804878","semivar290.243902439024","semivar292.682926829268","semivar295.121951219512","semivar297.560975609756","semivar300"
"AR-370_PIPES_2015-12-08_R_T1",12,"12/8/2015","1:56:24 PM",37.2033,16.141,15.3153,30,"AR-370_PIPES_2015-12-08_R_T1_final.csv",0,0,0.293976735,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",13,"12/8/2015","1:56:25 PM",37.2077,16.141,15.3183,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",10,0.245901639344262,0.86767478,"9.00000000000068e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",14,"12/8/2015","1:56:26 PM",37.141,16.141,15.2729,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",20,0.491803278688525,1.37710028,"0.00206116000000007","0.00179776000000006","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",15,"12/8/2015","1:56:27 PM",37.1009,16.141,15.2457,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",30,0.737704918032787,1.63620211,"0.00073984000000003","0.00527076000000019","0.00484416000000017","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",16,"12/8/2015","1:56:28 PM",37.2611,16.141,15.3547,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",40,0.983606557377049,1.635442465,"0.011881","0.00669123999999991","0.0013249599999999","0.0015523599999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",17,"12/8/2015","1:56:29 PM",37.4302,16.141,15.4697,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",50,1.22950819672131,1.46313448,"0.013225","0.0501760000000001","0.0387302399999999","0.0229219599999997","0.0238393599999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",18,"12/8/2015","1:56:30 PM",37.5368,16.141,15.5423,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",60,1.47540983606557,1.21217377,"0.00527075999999994","0.0351937599999999","0.0879715599999999","0.0725763599999996","0.0501759999999993","0.0515289999999993","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",19,"12/8/2015","1:56:31 PM",37.5591,16.141,15.5574,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",70,1.72131147540984,0.951434084999999,"0.00022801000000001","0.00769128999999998","0.04108729","0.0971568900000001","0.0809402499999997","0.0571688099999994","0.0586124099999995","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",20,"12/8/2015","1:56:32 PM",37.5279,16.141,15.5362,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",80,1.9672131147541,0.764569684999999,"0.000449440000000014","3.72099999999999e-05","0.00442224999999994","0.0329422499999999","0.0843902499999999","0.0693268899999996","0.0474804099999993","0.0487968099999994","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_PIPES_2015-12-08_R_T1",21,"12/8/2015","1:56:33 PM",37.4569,16.141,15.4879,NA,"AR-370_PIPES_2015-12-08_R_T1_final.csv",90,2.21311475409836,0.704415224999999,"0.00233288999999994","0.00483024999999995","0.00295935999999993","0.000331240000000008","0.0177422400000001","0.0586608400000002","0.0462249999999999","0.0287641599999997","0.0297907599999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
