"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar3.37078651685393","semivar6.74157303370786","semivar10.1123595505618","semivar13.4831460674157","semivar16.8539325842697","semivar20.2247191011236","semivar23.5955056179775","semivar26.9662921348315","semivar30.3370786516854","semivar33.7078651685393","semivar37.0786516853933","semivar40.4494382022472","semivar43.8202247191011","semivar47.1910112359551","semivar50.561797752809","semivar53.9325842696629","semivar57.3033707865169","semivar60.6741573033708","semivar64.0449438202247","semivar67.4157303370787","semivar70.7865168539326","semivar74.1573033707865","semivar77.5280898876404","semivar80.8988764044944","semivar84.2696629213483","semivar87.6404494382023","semivar91.0112359550562","semivar94.3820224719101","semivar97.752808988764","semivar101.123595505618","semivar104.494382022472","semivar107.865168539326","semivar111.23595505618","semivar114.606741573034","semivar117.977528089888","semivar121.348314606742","semivar124.719101123596","semivar128.089887640449","semivar131.460674157303","semivar134.831460674157","semivar138.202247191011","semivar141.573033707865","semivar144.943820224719","semivar148.314606741573","semivar151.685393258427","semivar155.056179775281","semivar158.426966292135","semivar161.797752808989","semivar165.168539325843","semivar168.539325842697","semivar171.910112359551","semivar175.280898876405","semivar178.651685393258","semivar182.022471910112","semivar185.393258426966","semivar188.76404494382","semivar192.134831460674","semivar195.505617977528","semivar198.876404494382","semivar202.247191011236","semivar205.61797752809","semivar208.988764044944","semivar212.359550561798","semivar215.730337078652","semivar219.101123595506","semivar222.47191011236","semivar225.842696629213","semivar229.213483146067","semivar232.584269662921","semivar235.955056179775","semivar239.325842696629","semivar242.696629213483","semivar246.067415730337","semivar249.438202247191","semivar252.808988764045","semivar256.179775280899","semivar259.550561797753","semivar262.921348314607","semivar266.292134831461","semivar269.662921348315","semivar273.033707865169","semivar276.404494382022","semivar279.775280898876","semivar283.14606741573","semivar286.516853932584","semivar289.887640449438","semivar293.258426966292","semivar296.629213483146","semivar300"
"AR-345_RB1_2016-04-21_R_T1",16,"4/21/2016","11:18:31 AM",41.8911,16.523,18.5052,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",100,3.40909090909091,0.449334139999999,"3.72099999999999e-05","3.72099999999999e-05","0.00109561000000007","0.00263169000000013","0.00205209000000009","0.00767376000000033","0.00263169000000013","0.00154449000000006","8.2810000000002e-05","0.00178928999999977","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",17,"4/21/2016","11:18:32 AM",41.9221,16.523,18.5263,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",110,3.75,0.360362399999999,"0.000445210000000024","0.000225000000000017","0.000225000000000017","0.000144000000000011","0.00091204000000004","0.000585640000000021","0.00442225000000018","0.00091204000000004","0.000331240000000008","0.000144000000000011","0.00401955999999973","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",18,"4/21/2016","11:18:33 AM",41.9221,16.523,18.5263,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",120,4.09090909090909,0.271651679999998,"0","0.000445210000000024","0.000225000000000017","0.000225000000000017","0.000144000000000011","0.00091204000000004","0.000585640000000021","0.00442225000000018","0.00091204000000004","0.000331240000000008","0.000144000000000011","0.00401955999999973","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",19,"4/21/2016","11:18:34 AM",41.9221,16.523,18.5263,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",130,4.43181818181818,0.232819919999998,"0","0","0.000445210000000024","0.000225000000000017","0.000225000000000017","0.000144000000000011","0.00091204000000004","0.000585640000000021","0.00442225000000018","0.00091204000000004","0.000331240000000008","0.000144000000000011","0.00401955999999973","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",20,"4/21/2016","11:18:35 AM",41.9176,16.523,18.5232,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",140,4.77272727272727,0.270091939999999,"9.60999999999926e-06","9.60999999999926e-06","9.60999999999926e-06","0.000324000000000025","0.000141610000000016","0.000141610000000016","0.00022801000000001","0.00110889000000004","0.000745290000000018","0.00484416000000017","0.00110889000000004","0.000453690000000004","7.92100000000102e-05","0.00363608999999976","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",21,"4/21/2016","11:18:36 AM",41.9088,16.523,18.5172,25,"AR-345_RB1_2016-04-21_R_T1_final.csv",150,5.11363636363636,0.355791029999999,"3.60000000000027e-05","8.2810000000002e-05","8.2810000000002e-05","8.2810000000002e-05","0.000144000000000011","3.48100000000054e-05","3.48100000000054e-05","0.000445210000000024","0.00154449000000006","0.00110889000000004","0.00571536000000022","0.00154449000000006","0.000745290000000018","8.41000000000201e-06","0.00294848999999976","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",26,"4/21/2016","11:18:41 AM",41.758,16.523,18.4146,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",160,5.45454545454545,0.423601209999999,"0.0105267599999998","0.0117939599999998","0.0124768899999998","0.0124768899999998","0.0124768899999998","0.00820835999999972","0.0093508899999997","0.0093508899999997","0.0153016899999999","0.0201356099999999","0.0184688099999999","0.0317552400000001","0.0201356099999999","0.0168740099999998","0.00994008999999971","0.00233289000000011","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",27,"4/21/2016","11:18:42 AM",41.9577,16.523,18.5505,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",170,5.79545454545454,0.452605459999999,"0.0184688099999999","0.00110889000000004","0.000745290000000018","0.000585640000000021","0.000585640000000021","0.000585640000000021","0.00205209000000009","0.00153664000000008","0.00153664000000008","0.00014884","3.60000000000027e-05","0","0.00178929000000008","3.60000000000027e-05","3.60000000000027e-05","0.00131044000000007","0.00767375999999971","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",28,"4/21/2016","11:18:43 AM",42.0509,16.523,18.6139,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",180,6.13636363636364,0.395187829999999,"0.00401956000000018","0.0397204900000004","0.00935089000000039","0.00822649000000032","0.00767376000000033","0.00767376000000033","0.00767376000000033","0.0118156900000005","0.0105267600000005","0.0105267600000005","0.00571536000000022","0.00329476000000014","0.00401956000000018","0.000445210000000024","0.00329476000000014","0.00481636000000023","0.00992016000000047","0.0228009999999999","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-345_RB1_2016-04-21_R_T1",29,"4/21/2016","11:18:44 AM",41.9844,16.523,18.5687,NA,"AR-345_RB1_2016-04-21_R_T1_final.csv",190,6.47727272727273,0.311660864999999,"0.00204304000000011","0.000331240000000008","0.0237468099999999","0.00265225000000008","0.00207025000000005","0.00179776000000006","0.00179776000000006","0.00179776000000006","0.00403225000000016","0.00329476000000014","0.00329476000000014","0.000924160000000012","0.00014884","0.000331240000000008","0.000580810000000033","0.00014884","0.000585640000000021","0.00295936000000012","0.0111936399999997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
