"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.56410256410256","semivar5.12820512820513","semivar7.69230769230769","semivar10.2564102564103","semivar12.8205128205128","semivar15.3846153846154","semivar17.9487179487179","semivar20.5128205128205","semivar23.0769230769231","semivar25.6410256410256","semivar28.2051282051282","semivar30.7692307692308","semivar33.3333333333333","semivar35.8974358974359","semivar38.4615384615385","semivar41.025641025641","semivar43.5897435897436","semivar46.1538461538462","semivar48.7179487179487","semivar51.2820512820513","semivar53.8461538461538","semivar56.4102564102564","semivar58.974358974359","semivar61.5384615384615","semivar64.1025641025641","semivar66.6666666666667","semivar69.2307692307692","semivar71.7948717948718","semivar74.3589743589744","semivar76.9230769230769","semivar79.4871794871795","semivar82.0512820512821","semivar84.6153846153846","semivar87.1794871794872","semivar89.7435897435897","semivar92.3076923076923","semivar94.8717948717949","semivar97.4358974358974","semivar100","semivar102.564102564103","semivar105.128205128205","semivar107.692307692308","semivar110.25641025641","semivar112.820512820513","semivar115.384615384615","semivar117.948717948718","semivar120.512820512821","semivar123.076923076923","semivar125.641025641026","semivar128.205128205128","semivar130.769230769231","semivar133.333333333333","semivar135.897435897436","semivar138.461538461538","semivar141.025641025641","semivar143.589743589744","semivar146.153846153846","semivar148.717948717949","semivar151.282051282051","semivar153.846153846154","semivar156.410256410256","semivar158.974358974359","semivar161.538461538462","semivar164.102564102564","semivar166.666666666667","semivar169.230769230769","semivar171.794871794872","semivar174.358974358974","semivar176.923076923077","semivar179.487179487179","semivar182.051282051282","semivar184.615384615385","semivar187.179487179487","semivar189.74358974359","semivar192.307692307692","semivar194.871794871795","semivar197.435897435897","semivar200","semivar202.564102564103","semivar205.128205128205","semivar207.692307692308","semivar210.25641025641","semivar212.820512820513","semivar215.384615384615","semivar217.948717948718","semivar220.512820512821","semivar223.076923076923","semivar225.641025641026","semivar228.205128205128","semivar230.769230769231","semivar233.333333333333","semivar235.897435897436","semivar238.461538461538","semivar241.025641025641","semivar243.589743589744","semivar246.153846153846","semivar248.717948717949","semivar251.282051282051","semivar253.846153846154","semivar256.410256410256","semivar258.974358974359","semivar261.538461538462","semivar264.102564102564","semivar266.666666666667","semivar269.230769230769","semivar271.794871794872","semivar274.358974358974","semivar276.923076923077","semivar279.48717948718","semivar282.051282051282","semivar284.615384615385","semivar287.179487179487","semivar289.74358974359","semivar292.307692307692","semivar294.871794871795","semivar297.435897435897","semivar300"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",24,"9/3/2015","1:59:31 PM",36.8673,27.665,15.0867,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",100,2.58620689655172,0.227828535000002,"0.000146410000000005","0.00059049000000001","0.00132496000000003","0.0015523599999999","0.000331240000000008","0.00014884","0.000453690000000004","0.00299209000000005","0.00446224000000009","0.00446224000000009","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",25,"9/3/2015","1:59:32 PM",36.8138,27.665,15.0503,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",110,2.8448275862069,0.215253605000003,"0.00132496000000003","0.00235225000000006","0.00368449000000008","0.00529984000000013","0.00574563999999988","0.00298116000000007","0.000585640000000021","0.00022801000000001","0.000334889999999999","0.000924160000000012","0.000924160000000012","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",26,"9/3/2015","1:59:33 PM",36.7781,27.665,15.026,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",120,3.10344827586207,0.185544940000002,"0.00059049000000001","0.00368449000000008","0.00529984000000013","0.00722500000000015","0.00942841000000021","0.0100200099999999","0.00622521000000014","0.00235225000000006","0.00155236000000004","3.60000000000027e-05","3.72099999999999e-05","3.72099999999999e-05","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",27,"9/3/2015","1:59:34 PM",36.7736,27.665,15.0229,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",130,3.36206896551724,0.154181170000002,"9.60999999999926e-06","0.000750760000000005","0.00407044000000007","0.00576081000000011","0.00776161000000013","0.0100400400000002","0.0106502399999999","0.00672400000000012","0.00266256000000006","0.00180625000000004","8.2810000000002e-05","9.00000000000068e-06","9.00000000000068e-06","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",28,"9/3/2015","1:59:35 PM",36.7468,27.665,15.0047,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",140,3.62068965517241,0.141032905000001,"0.000331240000000008","0.000453690000000004","0.00207936000000003","0.00672400000000012","0.00885481000000018","0.0112996900000002","0.0140185600000003","0.0147379599999999","0.0100400400000002","0.00487204000000011","0.00368449000000008","0.000745290000000018","0.000231040000000003","0.000231040000000003","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",29,"9/3/2015","1:59:36 PM",36.7111,27.665,14.9804,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",150,3.87931034482759,0.158364650000001,"0.00059049000000001","0.00180625000000004","0.00207936000000003","0.00488601000000007","0.0112996900000002","0.0140185600000003","0.0170563600000003","0.0203632900000004","0.0212284899999999","0.0155002500000003","0.00885481000000018","0.00722500000000015","0.00266256000000006","0.00156025000000002","0.00156025000000002","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",30,"9/3/2015","1:59:37 PM",36.6977,27.665,14.9713,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",160,4.13793103448276,0.194002640000002,"8.2810000000002e-05","0.00111556000000002","0.00266256000000006","0.00299209000000005","0.0062410000000001","0.0133171600000002","0.0162562500000003","0.0195160900000004","0.0230432400000005","0.0239630399999999","0.0178489600000003","0.0106502400000002","0.00885481000000018","0.00368449000000008","0.00236196000000004","0.00236196000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",31,"9/3/2015","1:59:38 PM",36.7334,27.665,14.9956,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",170,4.39655172413793,0.226459895000002,"0.00059049000000001","0.000231040000000003","8.2810000000002e-05","0.000745290000000018","0.000924160000000012","0.00299209000000005","0.00829921000000015","0.0106502400000002","0.0133171600000002","0.0162562500000003","0.0170302499999999","0.0119464900000002","0.00622521000000014","0.00487204000000011","0.00132496000000003","0.00059049000000001","0.00059049000000001","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",32,"9/3/2015","1:59:39 PM",36.8405,27.665,15.0685,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",180,4.6551724137931,0.233944240000002,"0.00531441000000009","0.00944784000000016","0.00776161000000013","0.00407044000000007","0.00207936000000003","0.00180625000000004","0.000331240000000008","0.000331240000000008","0.000918090000000027","0.00180625000000004","0.00298116000000007","0.00331775999999988","0.00132496000000003","3.60000000000027e-05","9.60999999999926e-06","0.00133225000000001","0.00236196000000004","0.00236196000000004","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-370_LIBERTYSHIP_2015-09-03_R_T3",33,"9/3/2015","1:59:40 PM",36.903,27.665,15.111,NA,"AR-370_LIBERTYSHIP_2015-09-03_R_T3_final.csv",190,4.91379310344828,0.217448385000002,"0.00180625000000004","0.0133171600000002","0.0195160900000004","0.0170563600000003","0.0112996900000002","0.00776161000000013","0.00722500000000015","0.00368449000000008","0.00059049000000001","0.00014884","0","0.000146410000000005","0.000228009999999956","3.72099999999999e-05","0.00133225000000001","0.00207936000000003","0.0062410000000001","0.00829921000000015","0.00829921000000015","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
