"ID","Sample_Number","Date","Time","Abs_Pres_psi","Temp_C","Abs_Pres_m","Trans_Dist_m","NA","dist_cm","dist_m_scaled","semivar","semivar2.72727272727273","semivar5.45454545454545","semivar8.18181818181818","semivar10.9090909090909","semivar13.6363636363636","semivar16.3636363636364","semivar19.0909090909091","semivar21.8181818181818","semivar24.5454545454545","semivar27.2727272727273","semivar30","semivar32.7272727272727","semivar35.4545454545455","semivar38.1818181818182","semivar40.9090909090909","semivar43.6363636363636","semivar46.3636363636364","semivar49.0909090909091","semivar51.8181818181818","semivar54.5454545454545","semivar57.2727272727273","semivar60","semivar62.7272727272727","semivar65.4545454545455","semivar68.1818181818182","semivar70.9090909090909","semivar73.6363636363636","semivar76.3636363636364","semivar79.0909090909091","semivar81.8181818181818","semivar84.5454545454545","semivar87.2727272727273","semivar90","semivar92.7272727272727","semivar95.4545454545455","semivar98.1818181818182","semivar100.909090909091","semivar103.636363636364","semivar106.363636363636","semivar109.090909090909","semivar111.818181818182","semivar114.545454545455","semivar117.272727272727","semivar120","semivar122.727272727273","semivar125.454545454545","semivar128.181818181818","semivar130.909090909091","semivar133.636363636364","semivar136.363636363636","semivar139.090909090909","semivar141.818181818182","semivar144.545454545455","semivar147.272727272727","semivar150","semivar152.727272727273","semivar155.454545454545","semivar158.181818181818","semivar160.909090909091","semivar163.636363636364","semivar166.363636363636","semivar169.090909090909","semivar171.818181818182","semivar174.545454545455","semivar177.272727272727","semivar180","semivar182.727272727273","semivar185.454545454545","semivar188.181818181818","semivar190.909090909091","semivar193.636363636364","semivar196.363636363636","semivar199.090909090909","semivar201.818181818182","semivar204.545454545455","semivar207.272727272727","semivar210","semivar212.727272727273","semivar215.454545454545","semivar218.181818181818","semivar220.909090909091","semivar223.636363636364","semivar226.363636363636","semivar229.090909090909","semivar231.818181818182","semivar234.545454545455","semivar237.272727272727","semivar240","semivar242.727272727273","semivar245.454545454545","semivar248.181818181818","semivar250.909090909091","semivar253.636363636364","semivar256.363636363636","semivar259.090909090909","semivar261.818181818182","semivar264.545454545455","semivar267.272727272727","semivar270","semivar272.727272727273","semivar275.454545454545","semivar278.181818181818","semivar280.909090909091","semivar283.636363636364","semivar286.363636363636","semivar289.090909090909","semivar291.818181818182","semivar294.545454545455","semivar297.272727272727","semivar300"
"AR-330_BARGE_2016-04-26_R_T3",19,"4/26/2016","4:20:51 PM",42.4682,16.903,18.89789364,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",100,2.75229357798165,0.128765761167202,"0.00014506130833961","0.00131047258020243","0.00482676589850468","0.00616618190700142","0.0124839213883606","0.00569465984122094","0.00131047258020243","0.00014506106745689","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",20,"4/26/2016","4:20:52 PM",42.4859,16.903,18.90993777,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",110,3.02752293577982,0.133490214795744,"0.00014506106745689","0.000580244751592901","0.00232753949937627","0.00664535714328327","0.00820277455448861","0.0153203991553596","0.00765749255040997","0.00232753949937627","0","0.00014506106745689","0.00014506106745689","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",21,"4/26/2016","4:20:53 PM",42.4949,16.903,18.91606191,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",120,3.30275229357798,0.166143329058607,"3.75050907396088e-05","0.000330086034792912","0.000912789718008145","0.00295595771443833","0.00768133050623977","0.00934959619875594","0.0168739424520674","0.0087668091039377","0.00295595771443833","3.75050907396088e-05","0.000330086034792912","0.000330086034792912","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",22,"4/26/2016","4:20:54 PM",42.5214,16.903,18.93409409,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",130,3.57798165137615,0.211909429449673,"0.000325159515552354","0.000583527795942374","0.00131047258020243","0.00232754046426805","0.00524189032080973","0.0111672859381439","0.0131619380557396","0.0218838529548857","0.0124687193660962","0.00524189032080973","0.000583527795942374","0.00131047258020243","0.00131047258020243","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",23,"4/26/2016","4:20:55 PM",42.4904,16.903,18.91299984,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",140,3.85321100917431,0.245159851306675,"0.000444967383062387","9.37627268489133e-06","9.37627268491309e-06","0.000228197278440052","0.000737140962115717","0.00263237233422258","0.00715396755207692","0.0087668091039377","0.016087794531029","0.00820277455448926","0.00263237233422258","9.37627268491309e-06","0.000228197278440052","0.000228197278440052","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",24,"4/26/2016","4:20:56 PM",42.4415,16.903,18.87972537,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",150,4.12844036697248,0.256139474371137,"0.00110719035378104","0.00295595771443833","0.00132034413917165","0.000912789113759995","0.000330086034792912","3.75049682568987e-05","0.000325159515552354","0.0026323733603554","0.00364293968483272","0.0087540723942397","0.00328268264808999","0.000325159515552354","0.000912789113759995","0.000330086034792912","0.000330086034792912","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",25,"4/26/2016","4:20:57 PM",42.3928,16.903,18.84658698,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",160,4.40366972477064,0.245401259026844,"0.00109815289179195","0.00441066797337957","0.00765749430055159","0.00482676589850468","0.0040133225936238","0.0026323733603554","0.00154154547675021","0.00022819758056407","0.000330086034792912","0.000740840209824442","0.00365115766353618","0.000583527312816205","0.00022819758056407","0.0040133225936238","0.0026323733603554","0.0026323733603554","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",26,"4/26/2016","4:20:58 PM",42.3217,16.903,18.79820631,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",170,4.67889908256881,0.221234072360345,"0.00234068922964892","0.00664535714328327","0.0131775545298609","0.0184654887533277","0.0138899424513597","0.0124839191537311","0.00993756376252856","0.00768132875337573","0.0040305839321343","0.000912789113759995","0.000447842518044078","0.00014506130833961","0.000586819617409506","0.0040305839321343","0.0124839191537311","0.00993756376252856","0.00993756376252856","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",27,"4/26/2016","4:20:59 PM",42.3396,16.903,18.81038654,NA,"AR-330_BARGE_2016-04-26_R_T3_final.csv",180,4.95412844036697,0.190849473802049,"0.000148358002852862","0.00131047185619373","0.00480787334576883","0.0105294893368903","0.0153035579270022","0.0111672838246369","0.00991044739451279","0.00765749255040997","0.00569465833196151","0.00263237233422258","0.000325159154908953","8.06774018436182e-05","0.000586820101896846","0.00014506106745689","0.00263237233422258","0.00991044739451279","0.00765749255040997","0.00765749255040997","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"AR-330_BARGE_2016-04-26_R_T3",28,"4/26/2016","4:21:00 PM",42.4327,16.903,18.87373732,85,"AR-330_BARGE_2016-04-26_R_T3_final.csv",190,5.22935779816514,0.15550167461857,"0.00401332132660845","0.00570493347161993","0.000737140962115524","3.58567428024896e-05","0.00154154547675049","0.00364293968483272","0.00179137091866808","0.00131047258020243","0.000583527795942374","0.000146704904352376","0.00014506106745689","0.002053776412332","0.00295595771443833","0.00766940689752237","0.00263237233422258","0.00014506106745689","0.00131047258020243","0.000583527795942374","0.000583527795942374","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
