OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
87,2,20,361868.1613,28,2645977.308,300282.3944,2342131.096,103747.2949
88,3,2,1282.833355,1,2644816.1,300827.6066,2645977.308,300282.3944
89,3,0,2462.888983,2,2644816.1,300827.6066,2646678.523,302439.1905
90,3,1,2962.438233,3,2644816.1,300827.6066,2646842.293,302988.7598
91,3,5,35055.83209,4,2644816.1,300827.6066,2610561.839,293373.953
92,3,8,35448.82523,5,2644816.1,300827.6066,2610221.152,293093.9902
93,3,7,36017.20852,6,2644816.1,300827.6066,2609853.305,292176.4644
94,3,6,36256.56401,7,2644816.1,300827.6066,2609264.738,293711.4921
95,3,4,57729.11073,8,2644816.1,300827.6066,2590076.669,319164.5906
96,3,9,281353.6432,9,2644816.1,300827.6066,2388731.659,184291.6388
97,3,22,281657.7765,10,2644816.1,300827.6066,2388710.32,183605.8815
98,3,21,282078.9811,11,2644816.1,300827.6066,2388412.754,183244.1214
99,3,25,282910.3531,12,2644816.1,300827.6066,2387869.067,182436.3484
100,3,24,283025.4777,13,2644816.1,300827.6066,2387820.893,182265.8719
101,3,11,301193.0625,14,2644816.1,300827.6066,2379463.585,158330.9259
102,3,12,301221.7817,15,2644816.1,300827.6066,2379732.846,157770.1696
103,3,10,303456.9935,16,2644816.1,300827.6066,2377532.441,157141.8639
104,3,27,304555.5899,17,2644816.1,300827.6066,2376220.008,157264.914
105,3,26,304593.2627,18,2644816.1,300827.6066,2376097.123,157415.0303
106,3,23,305356.0381,19,2644816.1,300827.6066,2375431.213,157042.7226
107,3,13,314492.9958,20,2644816.1,300827.6066,2379004.762,132749.7167
108,3,28,314492.9958,20,2644816.1,300827.6066,2379004.762,132749.7167
109,3,15,315162.4934,21,2644816.1,300827.6066,2378943.616,131596.3461
110,3,17,315420.5474,22,2644816.1,300827.6066,2379351.32,130479.2213
111,3,14,315744.8197,23,2644816.1,300827.6066,2377809.497,132297.8911
112,3,16,316345.328,24,2644816.1,300827.6066,2378096.736,130724.2625
113,3,18,357380.0848,25,2644816.1,300827.6066,2345519.887,105527.0643
114,3,29,359703.4402,26,2644816.1,300827.6066,2343461.743,104429.7542
115,3,19,360812.8137,27,2644816.1,300827.6066,2342097.36,104493.0675
116,3,20,361190.8926,28,2644816.1,300827.6066,2342131.096,103747.2949
117,4,6,31875.41669,1,2590076.669,319164.5906,2609264.738,293711.4921
118,4,5,32936.28916,2,2590076.669,319164.5906,2610561.839,293373.953
119,4,8,32946.56888,3,2590076.669,319164.5906,2610221.152,293093.9902
120,4,7,33458.54536,4,2590076.669,319164.5906,2609853.305,292176.4644
121,4,3,57729.11073,5,2590076.669,319164.5906,2644816.1,300827.6066
122,4,2,59003.54871,6,2590076.669,319164.5906,2645977.308,300282.3944
123,4,0,59021.25735,7,2590076.669,319164.5906,2646678.523,302439.1905
124,4,1,59025.36296,8,2590076.669,319164.5906,2646842.293,302988.7598
125,4,9,242343.8183,9,2590076.669,319164.5906,2388731.659,184291.6388
126,4,22,242743.8364,10,2590076.669,319164.5906,2388710.32,183605.8815
127,4,21,243192.7396,11,2590076.669,319164.5906,2388412.754,183244.1214
128,4,25,244095.3233,12,2590076.669,319164.5906,2387869.067,182436.3484
129,4,24,244230.7476,13,2590076.669,319164.5906,2387820.893,182265.8719
130,4,11,265000.6393,14,2590076.669,319164.5906,2379463.585,158330.9259
131,4,12,265127.6734,15,2590076.669,319164.5906,2379732.846,157770.1696
132,4,10,267257.2037,16,2590076.669,319164.5906,2377532.441,157141.8639
133,4,27,268227.8452,17,2590076.669,319164.5906,2376220.008,157264.914
134,4,26,268235.2822,18,2590076.669,319164.5906,2376097.123,157415.0303
135,4,23,268991.0257,19,2590076.669,319164.5906,2375431.213,157042.7226
136,4,13,281605.851,20,2590076.669,319164.5906,2379004.762,132749.7167
137,4,28,281605.851,20,2590076.669,319164.5906,2379004.762,132749.7167
138,4,15,282416.3816,21,2590076.669,319164.5906,2378943.616,131596.3461
139,4,14,282801.1952,22,2590076.669,319164.5906,2377809.497,132297.8911
140,4,17,282855.6902,23,2590076.669,319164.5906,2379351.32,130479.2213
141,4,16,283628.7172,24,2590076.669,319164.5906,2378096.736,130724.2625
142,4,18,324729.1373,25,2590076.669,319164.5906,2345519.887,105527.0643
143,4,29,327001.4862,26,2590076.669,319164.5906,2343461.743,104429.7542
144,4,19,327990.2446,27,2590076.669,319164.5906,2342097.36,104493.0675
145,4,20,328453.3737,28,2590076.669,319164.5906,2342131.096,103747.2949
146,5,8,440.9606397,1,2610561.839,293373.953,2610221.152,293093.9902
147,5,6,1340.29972,2,2610561.839,293373.953,2609264.738,293711.4921
148,5,7,1391.40197,3,2610561.839,293373.953,2609853.305,292176.4644
149,5,4,32936.28916,4,2610561.839,293373.953,2590076.669,319164.5906
150,5,3,35055.83209,5,2610561.839,293373.953,2644816.1,300827.6066
151,5,2,36082.98844,6,2610561.839,293373.953,2645977.308,300282.3944
152,5,0,37236.9898,7,2610561.839,293373.953,2646678.523,302439.1905
