"ID","Site","Subsite","Date","Transect_Type","Transect_Number","Temp_avg","Temp_max","Temp_min"
"AR-330_BARGE_2015-08-20_R_T1","AR-330","BARGE","2015-08-20","R","T1","27.272","27.272","27.272"
"AR-330_BARGE_2015-08-20_R_T2","AR-330","BARGE","2015-08-20","R","T2","27.272","27.272","27.272"
"AR-330_BARGE_2015-08-20_S","AR-330","BARGE","2015-08-20","S","","27.272","27.272","27.272"
"AR-330_BARGE_2015-09-08_R_T1","AR-330","BARGE","2015-09-08","R","T1","27.665","27.665","27.665"
"AR-330_BARGE_2015-09-08_R_T2","AR-330","BARGE","2015-09-08","R","T2","27.665","27.665","27.665"
"AR-330_BARGE_2015-09-08_R_T3","AR-330","BARGE","2015-09-08","R","T3","27.665","27.665","27.665"
"AR-330_BARGE_2015-09-08_S","AR-330","BARGE","2015-09-08","S","","27.665","27.665","27.665"
"AR-330_BARGE_2015-12-11_R_T1","AR-330","BARGE","2015-12-11","R","T1","18.0785294117647","18.14","18.045"
"AR-330_BARGE_2015-12-11_R_T2_T3","AR-330","BARGE","2015-12-11","R","T2_T3","18.045","18.045","18.045"
"AR-330_BARGE_2015-12-11_S","AR-330","BARGE","2015-12-11","S","","18.045","18.045","18.045"
"AR-330_BARGE_2016-04-26_R_T1","AR-330","BARGE","2016-04-26","R","T1","16.9002058823529","16.903","16.808"
"AR-330_BARGE_2016-04-26_R_T2","AR-330","BARGE","2016-04-26","R","T2","16.903","16.903","16.903"
"AR-330_BARGE_2016-04-26_R_T3","AR-330","BARGE","2016-04-26","R","T3","16.903","16.903","16.903"
"AR-330_BARGE_2016-04-26_S","AR-330","BARGE","2016-04-26","S","","16.903","16.903","16.903"
"AR-330_H-UNITS_2015-09-08_S","AR-330","H-UNITS","2015-09-08","S","","27.665","27.665","27.665"
"AR-330_H-UNITS_2016-01-15_R_T1","AR-330","H-UNITS","2016-01-15","R","T1","13.846","13.846","13.846"
"AR-330_H-UNITS_2016-01-15_R_T2","AR-330","H-UNITS","2016-01-15","R","T2","13.846","13.846","13.846"
"AR-330_H-UNITS_2016-01-15_R_T3","AR-330","H-UNITS","2016-01-15","R","T3","13.846","13.846","13.846"
"AR-330_H-UNITS_2016-01-15_S","AR-330","H-UNITS","2016-01-15","S","","13.8396","13.846","13.75"
"AR-330_INDRA_2015-07-27_S","AR-330","INDRA","2015-07-27","S","","25.6208967391304","26","25.513"
"AR-330_INDRA_2015-08-20_S","AR-330","INDRA","2015-08-20","S","","27.272","27.272","27.272"
"AR-330_INDRA_2015-09-08_R_T1","AR-330","INDRA","2015-09-08","R","T1","27.583","27.665","27.567"
"AR-330_INDRA_2015-09-08_R_T2","AR-330","INDRA","2015-09-08","R","T2","27.5904647887324","27.665","27.567"
"AR-330_INDRA_2015-09-08_R_T3","AR-330","INDRA","2015-09-08","R","T3","27.6607621621622","27.665","27.567"
"AR-330_INDRA_2015-09-08_S","AR-330","INDRA","2015-09-08","S","","27.6182947658402","27.665","27.567"
"AR-330_INDRA_2015-12-11_R_T1","AR-330","INDRA","2015-12-11","R","T1","18.045","18.045","18.045"
"AR-330_INDRA_2015-12-11_R_T2","AR-330","INDRA","2015-12-11","R","T2","18.045","18.045","18.045"
"AR-330_INDRA_2015-12-11_R_T3","AR-330","INDRA","2015-12-11","R","T3","18.045","18.045","18.045"
"AR-330_INDRA_2015-12-11_S","AR-330","INDRA","2015-12-11","S","","18.045","18.045","18.045"
"AR-330_INDRA_2016-04-26_R_T1","AR-330","INDRA","2016-04-26","R","T1","16.903","16.903","16.903"
"AR-330_INDRA_2016-04-26_R_T2","AR-330","INDRA","2016-04-26","R","T2","16.903","16.903","16.903"
"AR-330_INDRA_2016-04-26_R_T3","AR-330","INDRA","2016-04-26","R","T3","16.903","16.903","16.903"
"AR-330_INDRA_2016-04-26_S","AR-330","INDRA","2016-04-26","S","","16.903","16.903","16.903"
"AR-330_PIPES_2015-07-17_S","AR-330","PIPES","2015-07-17","S","","24.351","24.351","24.351"
"AR-330_PIPES_2015-09-08_R_T1","AR-330","PIPES","2015-09-08","R","T1","27.665","27.665","27.665"
"AR-330_PIPES_2015-09-08_R_T2","AR-330","PIPES","2015-09-08","R","T2","27.665","27.665","27.665"
"AR-330_PIPES_2015-09-08_R_T3","AR-330","PIPES","2015-09-08","R","T3","27.665","27.665","27.665"
"AR-330_PIPES_2015-09-08_S","AR-330","PIPES","2015-09-08","S","","27.665","27.665","27.665"
"AR-330_PIPES_2016-01-15_R_T1","AR-330","PIPES","2016-01-15","R","T1","13.846","13.846","13.846"
"AR-330_PIPES_2016-01-15_R_T2","AR-330","PIPES","2016-01-15","R","T2","13.846","13.846","13.846"
"AR-330_PIPES_2016-01-15_R_T3","AR-330","PIPES","2016-01-15","R","T3","13.846","13.846","13.846"
"AR-330_PIPES_2016-01-15_S","AR-330","PIPES","2016-01-15","S","","13.846","13.846","13.846"
"AR-342_PIPES_2015-10-14_R_T1","AR-342","PIPES","2015-10-14","R","T1","23.2965569620253","23.388","23.292"
"AR-342_PIPES_2015-10-14_R_T2","AR-342","PIPES","2015-10-14","R","T2","23.292","23.292","23.292"
"AR-345_CONC_2015-10-15_R_T3","AR-345","CONC","2015-10-15","R","T3","23.966","23.966","23.966"
"AR-345_CONC_2015-10-15_S","AR-345","CONC","2015-10-15","S","","23.966","23.966","23.966"
"AR-345_PIPES_2015-08-10_S","AR-345","PIPES","2015-08-10","S","","26.195","26.195","26.195"
"AR-345_RB1_2015-10-15_R_T1","AR-345","RB1","2015-10-15","R","T1","23.966","23.966","23.966"
"AR-345_RB1_2015-10-15_R_T2","AR-345","RB1","2015-10-15","R","T2","23.966","23.966","23.966"
"AR-345_RB1_2015-10-15_R_T3","AR-345","RB1","2015-10-15","R","T3","23.966","23.966","23.966"
