"ID","Site","Subsite","Date","Transect_Type","Transect_Number","Temp_avg","Temp_max","Temp_min"
"AR-345_RB2_2016-04-21_R_T1","345","RB2","2016-04-21","Radiating",1,16.523,16.523,16.523
"AR-345_RB2_2016-04-21_R_T2","345","RB2","2016-04-21","Radiating",2,16.523,16.523,16.523
"AR-345_RB2_2016-04-21_R_T3","345","RB2","2016-04-21","Radiating",3,16.523,16.523,16.523
"AR-345_RB2_2016-04-21_S","345","RB2","2016-04-21","Structural",0,16.523,16.523,16.523
"AR-345_TITAN_2015-08-10_R_T1","345","TITAN","2015-08-10","Radiating",1,26.195,26.195,26.195
"AR-345_TITAN_2015-08-10_R_T2","345","TITAN","2015-08-10","Radiating",2,26.195,26.195,26.195
"AR-345_TITAN_2015-08-10_R_T3","345","TITAN","2015-08-10","Radiating",3,26.195,26.195,26.195
"AR-345_TITAN_2015-08-10_S","345","TITAN","2015-08-10","Structural",0,26.2157173913043,26.39,26.195
"AR-345_TITAN_2015-10-15_R_T1","345","TITAN","2015-10-15","Radiating",1,23.966,23.966,23.966
"AR-345_TITAN_2015-10-15_R_T2","345","TITAN","2015-10-15","Radiating",2,23.966,23.966,23.966
"AR-345_TITAN_2015-10-15_R_T3","345","TITAN","2015-10-15","Radiating",3,23.966,23.966,23.966
"AR-345_TITAN_2015-10-15_S","345","TITAN","2015-10-15","Structural",0,23.966,23.966,23.966
"AR-345_TITAN_2016-01-27_R","345","TITAN","2016-01-27","Radiating",0,12.787,12.787,12.787
"AR-345_TITAN_2016-01-27_S","345","TITAN","2016-01-27","Structural",0,12.787,12.787,12.787
"AR-345_TITAN_2016-04-21_R_T1","345","TITAN","2016-04-21","Radiating",1,16.523,16.523,16.523
"AR-345_TITAN_2016-04-21_R_T2","345","TITAN","2016-04-21","Radiating",2,16.5266893203883,16.618,16.523
"AR-345_TITAN_2016-04-21_R_T3","345","TITAN","2016-04-21","Radiating",3,16.5270598290598,16.618,16.523
"AR-345_TITAN_2016-04-21_S","345","TITAN","2016-04-21","Structural",0,16.618,16.618,16.618
"AR-364_BARGE_2015-10-15_S","364","BARGE","2015-10-15","Structural",0,26.2957511961723,26.39,26.292
"AR-364_BARGE_2015-12-10_R_T1","364","BARGE","2015-12-10","Radiating",1,16.141,16.141,16.141
"AR-364_BARGE_2015-12-10_R_T2","364","BARGE","2015-12-10","Radiating",2,16.141,16.141,16.141
"AR-364_BARGE_2015-12-10_R_T3","364","BARGE","2015-12-10","Radiating",3,16.141,16.141,16.141
"AR-364_BARGE_2015-12-10_S","364","BARGE","2015-12-10","Structural",0,16.141,16.141,16.141
"AR-364_BARGE_2016-03-09_R_T1","364","BARGE","2016-03-09","Radiating",1,12.9528037383178,12.98,12.883
"AR-364_BARGE_2016-03-09_R_T2","364","BARGE","2016-03-09","Radiating",2,12.98,12.98,12.98
"AR-364_BARGE_2016-03-09_R_T3","364","BARGE","2016-03-09","Radiating",3,12.98,12.98,12.98
"AR-364_BARGE_2016-03-09_S","364","BARGE","2016-03-09","Structural",0,12.98,12.98,12.98
"AR-364_DOMES_2015-09-21_S","364","DOMES","2015-09-21","Structural",0,26.292,26.292,26.292
"AR-364_DOMES_2015-12-10_R_T1","364","DOMES","2015-12-10","Radiating",1,16.046,16.046,16.046
"AR-364_DOMES_2015-12-10_R_T2","364","DOMES","2015-12-10","Radiating",2,16.046,16.046,16.046
"AR-364_DOMES_2015-12-10_R_T3","364","DOMES","2015-12-10","Radiating",3,16.046,16.046,16.046
"AR-364_DOMES_2015-12-10_S","364","DOMES","2015-12-10","Structural",0,16.046,16.046,16.046
"AR-364_PIPES_2015-12-10_R_T1","364","PIPES","2015-12-10","Radiating",1,16.1363278688525,16.141,16.046
"AR-364_PIPES_2015-12-10_R_T2","364","PIPES","2015-12-10","Radiating",2,16.141,16.141,16.141
"AR-364_PIPES_2015-12-10_R_T3","364","PIPES","2015-12-10","Radiating",3,16.141,16.141,16.141
"AR-364_PIPES_2015-12-10_S","364","PIPES","2015-12-10","Structural",0,16.0926257668712,16.141,16.046
"AR-364_PODS_2015-09-21_S","364","PODS","2015-09-21","Structural",0,26.292,26.292,26.292
"AR-364_PODS_2015-12-10_S","364","PODS","2015-12-10","Structural",0,16.141,16.141,16.141
"AR-364_TUGBOAT_2015-09-21_S","364","TUGBOAT","2015-09-21","Structural",0,26.3891301775148,26.39,26.292
"AR-364_TUGBOAT_2015-12-10_R_T1","364","TUGBOAT","2015-12-10","Radiating",1,16.141,16.141,16.141
"AR-364_TUGBOAT_2015-12-10_R_T2","364","TUGBOAT","2015-12-10","Radiating",2,16.141,16.141,16.141
"AR-364_TUGBOAT_2015-12-10_R_T3","364","TUGBOAT","2015-12-10","Radiating",3,16.1417868852459,16.237,16.141
"AR-364_TUGBOAT_2015-12-10_S","364","TUGBOAT","2015-12-10","Structural",0,16.141,16.141,16.141
"AR-364_TUGBOAT_2016-03-09_R_T1","364","TUGBOAT","2016-03-09","Radiating",1,12.883,12.883,12.883
"AR-364_TUGBOAT_2016-03-09_R_T2","364","TUGBOAT","2016-03-09","Radiating",2,12.883,12.883,12.883
"AR-364_TUGBOAT_2016-03-09_R_T3","364","TUGBOAT","2016-03-09","Radiating",3,12.883,12.883,12.883
"AR-364_TUGBOAT_2016-03-09_S","364","TUGBOAT","2016-03-09","Structural",0,12.98,12.98,12.98
"AR-370_BARGE_2015-09-09_R_T1","370","BARGE","2015-09-09","Radiating",1,27.6664887218045,27.764,27.665
"AR-370_BARGE_2015-09-09_R_T2","370","BARGE","2015-09-09","Radiating",2,27.665,27.665,27.665
"AR-370_BARGE_2015-09-09_R_T3","370","BARGE","2015-09-09","Radiating",3,27.665,27.665,27.665
"AR-370_LIBERTYSHIP_2015-09-03_R_T3","370","LIBERTYSHIP","2015-09-03","Radiating",3,27.665,27.665,27.665
"AR-370_LIBERTYSHIP_2015-09-03_S","370","LIBERTYSHIP","2015-09-03","Structural",0,27.665,27.665,27.665
"AR-370_LIBERTYSHIP_2015-12-09_R_T1","370","LIBERTYSHIP","2015-12-09","Radiating",1,16.427,16.427,16.427
"AR-370_LIBERTYSHIP_2015-12-09_R_T2","370","LIBERTYSHIP","2015-12-09","Radiating",2,16.427,16.427,16.427
"AR-370_LIBERTYSHIP_2015-12-09_R_T3","370","LIBERTYSHIP","2015-12-09","Radiating",3,16.427,16.427,16.427
"AR-370_LIBERTYSHIP_2015-12-09_S","370","LIBERTYSHIP","2015-12-09","Structural",0,16.427,16.427,16.427
"AR-370_LIBERTYSHIP_2016-03-10_R_T1","370","LIBERTYSHIP","2016-03-10","Radiating",1,13.558,13.558,13.558
"AR-370_LIBERTYSHIP_2016-03-10_R_T2","370","LIBERTYSHIP","2016-03-10","Radiating",2,13.558,13.558,13.558
"AR-370_LIBERTYSHIP_2016-03-10_R_T3","370","LIBERTYSHIP","2016-03-10","Radiating",3,13.558,13.558,13.558
"AR-370_LIBERTYSHIP_2016-03-10_S","370","LIBERTYSHIP","2016-03-10","Structural",0,13.461,13.461,13.461
"AR-370_NR1_2015-09-09_R_T1","370","NR1","2015-09-09","Radiating",1,27.665,27.665,27.665
"AR-370_NR1_2015-09-09_R_T2","370","NR1","2015-09-09","Radiating",2,27.665,27.665,27.665
"AR-370_NR1_2015-09-09_R_T3","370","NR1","2015-09-09","Radiating",3,27.665,27.665,27.665
"AR-370_NR1_2015-12-08_R_T1","370","NR1","2015-12-08","Radiating",1,16.332,16.332,16.332
"AR-370_NR1_2015-12-08_R_T2","370","NR1","2015-12-08","Radiating",2,16.332,16.332,16.332
"AR-370_NR1_2015-12-08_R_T3","370","NR1","2015-12-08","Radiating",3,16.2896890756303,16.332,16.237
"AR-370_NR1_2015-12-08_S","370","NR1","2015-12-08","Structural",0,16.332,16.332,16.332
"AR-370_NR1_2016-03-10_R_T1","370","NR1","2016-03-10","Radiating",1,13.558,13.558,13.558
"AR-370_NR1_2016-03-10_R_T2","370","NR1","2016-03-10","Radiating",2,13.558,13.558,13.558
"AR-370_NR1_2016-03-10_S","370","NR1","2016-03-10","Structural",0,13.5569398907104,13.558,13.461
"AR-370_NR2_2015-09-02_R_T2","370","NR2","2015-09-02","Radiating",2,27.665,27.665,27.665
"AR-370_NR2_2015-09-02_R_T3","370","NR2","2015-09-02","Radiating",3,27.665,27.665,27.665
"AR-370_NR2_2015-09-02_S","370","NR2","2015-09-02","Structural",0,27.665,27.665,27.665
"AR-370_NR2_2015-09-09_R_T1","370","NR2","2015-09-09","Radiating",1,27.665,27.665,27.665
"AR-370_NR2_2015-09-09_R_T2","370","NR2","2015-09-09","Radiating",2,27.665,27.665,27.665
"AR-370_NR2_2015-09-09_R_T3","370","NR2","2015-09-09","Radiating",3,27.665,27.665,27.665
"AR-370_NR2_2015-12-08_S","370","NR2","2015-12-08","Structural",0,16.332,16.332,16.332
"AR-370_NR2_2016-03-11_R_T1","370","NR2","2016-03-11","Radiating",1,13.942,13.942,13.942
"AR-370_NR2_2016-03-11_R_T2","370","NR2","2016-03-11","Radiating",2,13.942,13.942,13.942
"AR-370_NR2_2016-03-11_R_T3","370","NR2","2016-03-11","Radiating",3,13.942,13.942,13.942
"AR-370_NR2_2016-03-11_S","370","NR2","2016-03-11","Structural",0,13.942,13.942,13.942
"AR-370_PIPES_2015-09-03_R_T1","370","PIPES","2015-09-03","Radiating",1,27.567,27.567,27.567
"AR-370_PIPES_2015-09-03_R_T2","370","PIPES","2015-09-03","Radiating",2,27.567,27.567,27.567
"AR-370_PIPES_2015-09-03_S","370","PIPES","2015-09-03","Structural",0,27.567,27.567,27.567
"AR-370_PIPES_2015-12-08_R_T1","370","PIPES","2015-12-08","Radiating",1,16.141,16.141,16.141
"AR-370_PIPES_2015-12-08_R_T2","370","PIPES","2015-12-08","Radiating",2,16.141,16.141,16.141
"AR-370_PIPES_2015-12-08_R_T3","370","PIPES","2015-12-08","Radiating",3,16.0962941176471,16.141,16.046
"AR-370_PIPES_2015-12-08_S","370","PIPES","2015-12-08","Structural",0,16.141,16.141,16.141
"AR-370_PIPES_2016-03-11_R_T1","370","PIPES","2016-03-11","Radiating",1,13.942,13.942,13.942
"AR-370_PIPES_2016-03-11_R_T2","370","PIPES","2016-03-11","Radiating",2,13.942,13.942,13.942
"AR-370_PIPES_2016-03-11_R_T3","370","PIPES","2016-03-11","Radiating",3,13.942,13.942,13.942
"AR-370_PIPES_2016-03-11_S","370","PIPES","2016-03-11","Structural",0,13.942,13.942,13.942
"AR-370_PODS_2015-09-15_R_T3","370","PODS","2015-09-15","Radiating",3,27.075,27.075,27.075
"AR-370_PODS_2015-09-15_R_T2","370","PODS","2015-09-15","Radiating",2,27.075,27.075,27.075
"AR-370_PODS_2015-09-15_R_T1","370","PODS","2015-09-15","Radiating",1,27.075,27.075,27.075
"AR-370_PODS_2015-09-15_S","370","PODS","2015-09-15","Structural",0,27.075,27.075,27.075
"AR-370_PODS_2015-12-08_R_T1","370","PODS","2015-12-08","Radiating",1,16.3511532258065,16.427,16.332
